"","constituency","website2015","province","district"
"74","Kafue","Kafue","Lusaka","Kafue"
"75","Feira","Feira","Lusaka","Luangwa"
"76","Chawama","Chawama","Lusaka","Lusaka"
"77","Kabwata","Kabwata","Lusaka","Lusaka"
"78","Kanyama","Kanyama","Lusaka","Lusaka"
"79","Lusaka Central","Lusaka Central","Lusaka","Lusaka"
"80","Mandevu","Mandevu","Lusaka","Lusaka"
"81","Matero","Matero","Lusaka","Lusaka"
"82","Munali","Munali","Lusaka","Lusaka"
"83","Rufunsa","Rufunsa","Lusaka","Rufunsa"
"84","Mwembezhi","Mwembezhi","Lusaka","Shibuyunji"
"85","Chama North","Chama North","Muchinga","Chama"
"86","Chama South","Chama South","Muchinga","Chama"
"87","Chinsali","Chinsali","Muchinga","Chinsali"
"88","Isoka","Isoka","Muchinga","Isoka"
"89","Mafinga","Mafinga","Muchinga","Mafinga"
"90","Kanchibiya","Kanchibiya","Muchinga","Mpika"
"91","Mfuwe","Mfuwe","Muchinga","Mpika"
"92","Mpika","Mpika","Muchinga","Mpika"
"93","Nakonde","Nakonde","Muchinga","Nakonde"
"94","Shiwan'gandu","Shiwan'gandu","Muchinga","Shiwan'gandu"
"95","Chavuma","Chavuma","North-Western","Chavuma"
"96","Ikeleng'i","Ikeleng'i","North-Western","Ikelenge"
"97","Kabompo","Kabompo West","North-Western","Kabompo"
"98","Kasempa","Kasempa","North-Western","Kasempa"
"99","Manyinga","Kabompo East","North-Western","Manyinga"
"100","Mufumbwe","Mufumbwe","North-Western","Mufumbwe"
"101","Mwinilunga","Mwinilunga","North-Western","Mwinilunga"
"102","Solwezi Central","Solwezi Central","North-Western","Solwezi"
"103","Solwezi East","Solwezi East","North-Western","Solwezi"
"104","Solwezi West","Solwezi West","North-Western","Solwezi"
"105","Zambezi East","Zambezi East","North-Western","Zambezi"
"106","Zambezi West","Zambezi West","North-Western","Zambezi"
"107","Chilubi","Chilubi","Northern","Chilubi"
"108","Kaputa","Kaputa","Northern","Kaputa"
"109","Kasama Central","Kasama Central","Northern","Kasama"
"110","Lukashya","Lukashya","Northern","Kasama"
"111","Lubansenshi","Lubansenshi","Northern","Luwingu"
"112","Lupososhi","Lupososhi","Northern","Luwingu"
"113","Mbala","Mbala","Northern","Mbala"
"114","Senga Hill","Senga Hill","Northern","Mbala"
"115","Lunte","Lunte","Northern","Mporokoso"
"116","Mporokoso","Mporokoso","Northern","Mporokoso"
"117","Mpulungu","Mpulungu","Northern","Mpulungu"
"118","Malole","Malole","Northern","Mungwi"
"119","Chimbamilonga","Chimbamilonga","Northern","Nsama"
"120","Chikankata","Chikankata","Southern","Chikankata"
"121","Choma Central","Choma Central","Southern","Choma"
"122","Mbabala","Mbabala","Southern","Choma"
"123","Gwembe","Gwembe","Southern","Gwembe"
"124","Dundumwezi","Dundumwezi","Southern","Kalomo"
"125","Kalomo Central","Kalomo Central","Southern","Kalomo"
"126","Katombola","Katombola","Southern","Kazungula"
"127","Livingstone","Livingstone","Southern","Livingstone"
"128","Magoye","Magoye","Southern","Mazabuka"
"129","Mazabuka Central","Mazabuka Central","Southern","Mazabuka"
"130","Bweengwa","Bweengwa","Southern","Monze"
"131","Monze Central","Monze Central","Southern","Monze"
"132","Moomba","Moomba","Southern","Monze"
"133","Namwala","Namwala","Southern","Namwala"
"134","Pemba","Pemba","Southern","Pemba"
"135","Siavonga","Siavonga","Southern","Siavonga"
"136","Sinazongwe","Sinazongwe","Southern","Sinazongwe"
"137","Mapatizya","Mapatizya","Southern","Zimba"
"138","Kalabo Central","Kalabo Central","Western","Kalabo"
"139","Liuwa","Liuwa","Western","Kalabo"
"140","Kaoma Central","Kaoma Central","Western","Kaoma"
"141","Mangango","Mangango","Western","Kaoma"
"142","Luena","Luena","Western","Limulunga"
"143","Luampa","Luampa","Western","Luampa"
"144","Lukulu East","Lukulu East","Western","Lukulu"
"145","Mitete","Lukulu West","Western","Mitete"
"146","Mongu Central","Mongu Central","Western","Mongu"
"147","Nalikwanda","Nalikwanda","Western","Mongu"
"148","Mulobezi","Mulobezi","Western","Mulobezi"
"149","Mwandi","Mwandi","Western","Mwandi"
"150","Nalolo","Nalolo","Western","Nalolo"
"151","Nkeyema",NA,NA,NA
"152","Senanga","Senanga","Western","Senanga"
"153","Sesheke","Sesheke","Western","Sesheke"
"154","Shangombo","Sinjembela","Western","Shangombo"
"155","Sikongo","Sikongo","Western","Sikongo"
"156","Sioma",NA,NA,NA
