candidate_region,Votes,pct_cast,pct_registered,rejected_ballotpapers,pct_rejected,total_votes,total_registered,pct_poll
"CHITUWO Brian  ,MMD","7,372",48.16%,22.89%,,,,,
"CHASEMENA Moven  ,UPND","4,570",29.85%,14.19%,,,,,
"NSONGA Donald  ,PF","1,558",10.18%,4.84%,,,,,
"SITULA Sikwindi  ,IND",986,6.44%,3.06%,,,,,
"MOOLA Sitwala  ,IND",345,2.25%,1.07%,,,,,
"MUTANUKA Steve K ,NMP",132,0.86%,0.41%,,,,,
"SAYILA Alfred  ,FEDEPA",27,0.18%,0.08%,,,,,
,"14,990",,,318,2.08%,"15,308","32,207",47.53%
00000011 NANGOMA,,,,,,,,
"HAMUSONDE Boyd  ,UPND","6,118",50.84%,24.03%,,,,,
"NAKACHINDA Yvonne N.W ,MMD","4,803",39.91%,18.86%,,,,,
"KASANZALE Edith  ,PF",618,5.14%,2.43%,,,,,
"KAMBANDU Maxwell Z ,IND",246,2.04%,0.97%,,,,,
"SISEHO Henry  ,ADD",195,1.62%,0.77%,,,,,
,"11,980",,,54,0.45%,"12,034","25,463",47.26%
00000012 CHITAMBO,,,,,,,,
"MALAMA Mushili  ,MMD","4,082",44.58%,20.80%,,,,,
"MUTALE Chanda  ,PF","2,959",32.31%,15.08%,,,,,
"KABENGELE Godfrey  ,IND","1,631",17.81%,8.31%,,,,,
"KALUNGA Patrick  ,UPND",103,1.12%,0.52%,,,,,
"NG'ANDWE Golden  ,UNIP",86,0.94%,0.44%,,,,,
,"8,861",,,296,3.23%,"9,157","19,628",46.65%
00000013 MUCHINGA,,,,,,,,
"KUNDA George  ,MMD","6,292",79.72%,39.33%,,,,,
"CHAMA John  ,PF","1,307",16.56%,8.17%,,,,,
"CHISENGA Mudala  ,UPND",99,1.25%,0.62%,,,,,
,"7,698",,,195,2.47%,"7,893","15,996",49.34%
00000014 SERENJE,,,,,,,,
"KOSAMU Phillip  ,PF","4,795",52.80%,23.72%,,,,,
"KABANDA Maxwell  ,MMD","3,746",41.25%,18.53%,,,,,
"DICKSON Chibuye  ,UPND",322,3.55%,1.59%,,,,,
,"8,863",,,218,2.40%,"9,081","20,219",44.91%
00000015 CHILILABOMBWE,,,,,,,,
"BANDA Esther M ,PF","25,953",58.56%,59.02%,,,,,
"NG`ANDU Trudy S ,MMD","14,847",33.50%,33.77%,,,,,
"PHIRI Edward  ,UPND","1,722",3.89%,3.92%,,,,,
"KOWA Victor  ,IND",914,2.06%,2.08%,,,,,
"AMATENDE Chani  ,ADD",320,0.72%,0.73%,,,,,
"MWALE Jubeke  ,UNIP",133,0.30%,0.30%,,,,,
,"43,889",,,427,0.96%,"44,316","43,971",100.78%
00000016 CHINGOLA,,,,,,,,
"KATEMA Joseph  ,PF","17,731",52.97%,31.48%,,,,,
"KAZENENE Sevirine  ,MMD","7,289",21.77%,12.94%,,,,,
"MULONGOTI Mcdonald  ,IND","5,056",15.10%,8.98%,,,,,
"MULAMBYA Greenwell D ,UPND","2,209",6.60%,3.92%,,,,,
"KAFULA Benson  ,ADD",663,1.98%,1.18%,,,,,
,"32,948",,,527,1.57%,"33,475","56,316",59.44%
00000017 NCHANGA,,,,,,,,
"SIMUUSA Wylbur  ,PF","18,136",68.74%,44.64%,,,,,
"MWAPE Christopher  ,MMD","3,467",13.14%,8.53%,,,,,
"BWALYA Clement  ,IND","3,021",11.45%,7.44%,,,,,
"KAOMA Lilian  ,UPND","1,487",5.64%,3.66%,,,,,
,"26,111",,,272,1.03%,"26,383","40,625",64.94%
00000018 KALULUSHI,,,,,,,,
"MBULU Rayford  ,PF","18,488",63.57%,38.60%,,,,,
"MUSOWOYA Spartan  ,MMD","7,836",26.94%,16.36%,,,,,
"MUKUNGU Richard R ,UPND","1,659",5.70%,3.46%,,,,,
"NGONGA Charles  ,ADD",587,2.02%,1.23%,,,,,
,"28,570",,,515,1.77%,"29,085","47,900",60.72%
00000019 CHIMWEMWE,,,,,,,,
"MWENYA Laban  ,PF","19,808",69.35%,43.77%,,,,,
"MANENGA Ronald  ,MMD","7,264",25.43%,16.05%,,,,,
"LIKANDO Tebuho  ,UPND",997,3.49%,2.20%,,,,,
"NKANDU Newton  ,IND",354,1.24%,0.78%,,,,,
,"28,423",,,140,0.49%,"28,563","45,257",63.11%
00000020 KAMFINSA,,,,,,,,
"CHISHIMBA Moses  ,PF","13,820",69.15%,41.42%,,,,,
"CHINKULI Itayi  ,MMD","4,106",20.54%,12.30%,,,,,
"MWANJISI Lemmy  ,UPND","1,285",6.43%,3.85%,,,,,
"NYIRENDA Azik I ,IND",291,1.46%,0.87%,,,,,
"LUPIYA Willie  ,FDD",146,0.73%,0.44%,,,,,
"MULENGA Peter  ,ZED",139,0.70%,0.42%,,,,,
"KABANDA Bernard  ,UNIP",126,0.63%,0.38%,,,,,
,"19,913",,,73,0.37%,"19,986","33,369",59.89%
00000021 KWACHA,,,,,,,,
"MUTALE Boniface  ,PF","22,308",66.26%,39.97%,,,,,
"MALANJE Joseph  ,MMD","9,003",26.74%,16.13%,,,,,
"JIBINGA Kelly  ,UPND","1,032",3.07%,1.85%,,,,,
"SIETA Alfred  ,ADD",273,0.81%,0.49%,,,,,
"CHAMI Victor  ,IND",227,0.67%,0.41%,,,,,
"NTENGWE Felix  ,IND",221,0.66%,0.40%,,,,,
"NYIRENDA David  ,HERITAGE",184,0.55%,0.33%,,,,,
,"33,248",,,417,1.24%,"33,665","55,818",60.31%
00000022 NKANA,,,,,,,,
"KAZABU Luxon  ,PF","19,164",76.33%,49.02%,,,,,
"KATETE Divo B ,MMD","3,889",15.49%,9.95%,,,,,
"MWANAKATWE Salome  ,UPND","1,640",6.53%,4.20%,,,,,
"MULUBE David  ,ADD",134,0.53%,0.34%,,,,,
,"24,827",,,280,1.12%,"25,107","39,094",64.22%
00000023 WUSAKILE,,,,,,,,
"MUSUKWA Richard  ,PF","18,990",75.67%,48.99%,,,,,
"KALOBO Pavyuma  ,MMD","4,139",16.49%,10.68%,,,,,
"MUKUMBUTA Mulowa  ,UPND","1,420",5.66%,3.66%,,,,,
"MUSEFWE Racheal  ,ADD",194,0.77%,0.50%,,,,,
"ZIMBA Mark  ,FDD",175,0.70%,0.45%,,,,,
"NYONDO Hopeson  ,UNIP",81,0.32%,0.21%,,,,,
,"24,999",,,96,0.38%,"25,095","38,766",64.73%
00000024 LUANSHYA,,,,,,,,
"CHUNGU Stephen  ,PF","14,980",59.20%,33.92%,,,,,
"KACHIMBA Simon  ,MMD","6,478",25.60%,14.67%,,,,,
"MULENGA Helen B ,UPND","2,635",10.41%,5.97%,,,,,
"KAMANGA Jevan  ,IND",511,2.02%,1.16%,,,,,
"BWALYA Mutale  ,UNIP",359,1.42%,0.81%,,,,,
,"24,963",,,343,1.36%,"25,306","44,159",57.31%
00000025 ROAN,,,,,,,,
"KAMBWILI Chishimba  ,PF","12,747",68.06%,43.93%,,,,,
"MULUBWA Goodward  ,MMD","5,351",28.57%,18.44%,,,,,
"MWABA Dennis  ,IND",194,1.04%,0.67%,,,,,
"KANTA Stephen  ,UPND",157,0.84%,0.54%,,,,,
"SIWAKWI Enos  ,FDD",58,0.31%,0.20%,,,,,
,"18,507",,,223,1.19%,"18,730","29,019",64.54%
00000026 KANKOYO,,,,,,,,
"CHABALA Levy K ,PF","8,425",65.92%,40.92%,,,,,
"MUSOZYA Shadrick A ,MMD","3,235",25.31%,15.71%,,,,,
"MBETELA Patrick  ,UPND",729,5.70%,3.54%,,,,,
"SIMUMBA Emmanuel  ,UPDD",308,2.41%,1.50%,,,,,
"ZULU Vuto  ,UNIP",73,0.57%,0.35%,,,,,
,"12,770",,,11,0.09%,"12,781","20,591",62.07%
00000027 KANTANSHI,,,,,,,,
"MUKANGA Yamfwa  ,PF","13,452",69.70%,43.94%,,,,,
"MUTIMUSHI Daniel  ,MMD","2,981",15.45%,9.74%,,,,,
"NKHATA David  ,IND","2,126",11.02%,6.94%,,,,,
"LUKWESA Josephine  ,UPND",451,2.34%,1.47%,,,,,
"MBEWE Tanny  ,FDD",188,0.97%,0.61%,,,,,
"MULEYA Alasters  ,UNIP",74,0.38%,0.24%,,,,,
,"19,272",,,27,0.14%,"19,299","30,616",63.04%
00000028 MUFULIRA,,,,,,,,
"KUFUNA John  ,PF","10,384",62.25%,36.89%,,,,,
"CHIBANDA Evans  ,MMD","5,729",34.34%,20.35%,,,,,
"MULUNDU Mpundu  ,UPND",317,1.90%,1.13%,,,,,
"KABANGO Oliver  ,UNIP",251,1.50%,0.89%,,,,,
,"16,681",,,1,0.01%,"16,682","28,147",59.27%
00000029 KAFULAFUTA,,,,,,,,
"CHISHIBA James  ,MMD","5,889",58.81%,30.52%,,,,,
"MWANAWASA Patrick  ,PF","2,953",29.49%,15.30%,,,,,
"KASABWA Jimy  ,IND",913,9.12%,4.73%,,,,,
"MATUTU Brian  ,UPND",216,2.16%,1.12%,,,,,
,"9,971",,,43,0.43%,"10,014","19,297",51.89%
00000030 LUFWANYAMA,,,,,,,,
"MUNSHYA Annie C ,MMD","5,716",41.82%,17.01%,,,,,
"MUTESA Miniver T ,IND","2,565",18.77%,7.63%,,,,,
"MATAMBO Elisha  ,UPND","2,536",18.56%,7.55%,,,,,
"KALENGE Christopher  ,PF","2,336",17.09%,6.95%,,,,,
,"13,153",,,514,3.76%,"13,667","33,608",40.67%
00000031 MASAITI,,,,,,,,
"KATAMBO Michael  ,MMD","7,258",54.83%,27.53%,,,,,
"MWALE Stardy  ,PF","4,678",35.34%,17.74%,,,,,
"MUKABILA Shevy  ,UPND","1,121",8.47%,4.25%,,,,,
"MUSHIYA Samuel  ,ADD",78,0.59%,0.30%,,,,,
"MUTAYA Mobby  ,FDD",33,0.25%,0.13%,,,,,
,"13,168",,,69,0.52%,"13,237","26,367",50.20%
00000032 MPONGWE,,,,,,,,
"NAMULAMBE Gabriel  ,MMD","7,843",53.30%,22.64%,,,,,
"MAILA Keith  ,PF","5,077",34.50%,14.66%,,,,,
"LUNDWE Noah  ,UPND","1,471",10.00%,4.25%,,,,,
,"14,391",,,323,2.20%,"14,714","34,642",42.47%
00000033 BWANA MKUBWA,,,,,,,,
"CHENDA Emmanuel  ,PF","17,224",69.21%,39.41%,,,,,
"CHAUMWE Kelvin  ,MMD","6,064",24.37%,13.88%,,,,,
"MILIMO Rosemary  ,UPND","1,266",5.09%,2.90%,,,,,
"CHIBUYE Antony  ,IND",297,1.19%,0.68%,,,,,
,"24,851",,,37,0.15%,"24,888","43,701",56.95%
00000034 CHIFUBU,,,,,,,,
"KAWANDAMI Berina K ,PF","15,490",56.45%,36.16%,,,,,
"NG'AMBI Frank  ,MMD","10,466",38.14%,24.43%,,,,,
"SIWALE Thomson  ,UPND","1,060",3.86%,2.47%,,,,,
,"27,016",,,423,1.54%,"27,439","42,842",64.05%
00000035 KABUSHI,,,,,,,,
"KAZUNGA Dorothy  ,PF","15,349",62.76%,37.95%,,,,,
"KOPALANDE Rabson  ,MMD","6,785",27.74%,16.78%,,,,,
"LUFUNDA Ernest  ,UPND","1,721",7.04%,4.26%,,,,,
"NDHLOVU Harold  ,NMP",139,0.57%,0.34%,,,,,
"MWAPE Tony K ,IND",89,0.36%,0.22%,,,,,
,"24,083",,,372,1.52%,"24,455","40,442",60.47%
00000036 NDOLA CENTRAL,,,,,,,,
"SHAMENDA Fackson U ,PF","16,868",58.53%,33.06%,,,,,
"MULENGA Emmanuel  ,MMD","8,718",30.25%,17.09%,,,,,
"NEWA Moses  ,UPND","2,696",9.36%,5.28%,,,,,
,"28,282",,,536,1.86%,"28,818","51,022",56.48%
00000037 CHADIZA,,,,,,,,
"MBEWE Allan D ,MMD","6,464",52.56%,27.74%,,,,,
"TEMBO Salatiel M ,UPND","2,492",20.26%,10.69%,,,,,
"PHIRI Nickson  ,PF",952,7.74%,4.08%,,,,,
"BANDA Ben P ,UNIP",577,4.69%,2.48%,,,,,
,"10,485",,,"1,814",14.75%,"12,299","23,305",52.77%
00000038 VUBWI,,,,,,,,
"KAZONGA Eustarckio  ,MMD","5,807",69.65%,32.11%,,,,,
"BANDA Herbert  ,UPND","1,114",13.36%,6.16%,,,,,
"MWALE Vincent I ,PF",826,9.91%,4.57%,,,,,
"MITI Margaret C ,IND",258,3.09%,1.43%,,,,,
,"8,005",,,332,3.98%,"8,337","18,084",46.10%
00000039 CHAMA NORTH,,,,,,,,
"MUMBA Darious  ,MMD","5,200",39.11%,22.38%,,,,,
"KACHALI Lambwe  ,PF","3,884",29.21%,16.72%,,,,,
"CHILEMBO Todd  ,IND","3,028",22.78%,13.03%,,,,,
"KUMWENDA Windie  ,FDD",333,2.50%,1.43%,,,,,
"NG'UNI Dennis  ,UPND",217,1.63%,0.93%,,,,,
"ZIMBA Hebert  ,UNIP",168,1.26%,0.72%,,,,,
,"12,830",,,465,3.50%,"13,295","23,234",57.22%
00000040 CHAMA SOUTH,,,,,,,,
"LUNGU Effron  ,PF","5,571",44.99%,26.41%,,,,,
"LUNGU George  ,MMD","5,145",41.55%,24.39%,,,,,
"NKHOWANI Abiad Z ,UPND",615,4.97%,2.92%,,,,,
"LUNGU White  ,FDD",302,2.44%,1.43%,,,,,
"NGULUBE Hubert  ,IND",279,2.25%,1.32%,,,,,
"MAZABA Goodson  ,UNIP",111,0.90%,0.53%,,,,,
,"12,023",,,359,2.90%,"12,382","21,092",58.70%
00000041 CHIPANGALI,,,,,,,,
"MWALE Vincent  ,MMD","10,607",58.53%,26.48%,,,,,
"TEMBO Millioni C ,IND","4,080",22.52%,10.18%,,,,,
"PHIRI Lucas  ,PF","1,409",7.78%,3.52%,,,,,
"MWANZA James  ,UPND","1,403",7.74%,3.50%,,,,,
"CHINENE Rosemary  ,UNIP",381,2.10%,0.95%,,,,,
"TONGA Evanson  ,ADD",97,0.54%,0.24%,,,,,
"NYIRENDA Amos SM ,NAREP",35,0.19%,0.09%,,,,,
,"18,012",,,109,0.60%,"18,121","40,063",45.23%
00000042 CHIPATA CENTRAL,,,,,,,,
"PHIRI Reuben M ,MMD","13,763",53.91%,27.67%,,,,,
"MANGANI Lameck  ,PF","10,521",41.21%,21.15%,,,,,
"MUKAJULU Julia  ,UPND",653,2.56%,1.31%,,,,,
"KALIOTI Kennedy C ,UNIP",429,1.68%,0.86%,,,,,
"NKUNIKA Penlope J ,IND",79,0.31%,0.16%,,,,,
,"25,445",,,86,0.34%,"25,531","49,744",51.32%
00000043 KASENENGWA,,,,,,,,
"KALIMA Victoria  ,MMD","18,650",85.57%,44.62%,,,,,
"ZULU Saul  ,PF","1,141",5.24%,2.73%,,,,,
"MWANZA Maria G ,IND",814,3.73%,1.95%,,,,,
"PHIRI Bernard  ,UPND",557,2.56%,1.33%,,,,,
"MTONGA Jolly  ,IND",390,1.79%,0.93%,,,,,
"WEZA Faiman  ,UNIP",138,0.63%,0.33%,,,,,
,"21,690",,,104,0.48%,"21,794","41,795",52.14%
00000044 LUANGENI,,,,,,,,
"ZULU Charles  ,IND","8,378",50.01%,26.76%,,,,,
"CHIFIRE Angela N ,MMD","6,952",41.50%,22.21%,,,,,
"ZULU George  ,PF",494,2.95%,1.58%,,,,,
"DAKA Patras M ,UPND",443,2.64%,1.42%,,,,,
"MWALE Maximina N ,UNIP",261,1.56%,0.83%,,,,,
"JERE Adrias R ,NAREP",89,0.53%,0.28%,,,,,
,"16,617",,,136,0.81%,"16,753","31,303",53.52%
00000045 MILANZI,,,,,,,,
"BANDA Whiteson  ,MMD","8,335",59.42%,30.93%,,,,,
"BANDA Musa  ,PF","2,799",19.95%,10.39%,,,,,
"BANDA Regina  ,UPND","1,582",11.28%,5.87%,,,,,
"PHIRI Chimwala  ,UNIP",873,6.22%,3.24%,,,,,
,"13,589",,,438,3.12%,"14,027","26,945",52.06%
00000046 MKAIKA,,,,,,,,
"PHIRI David  ,MMD","6,813",40.09%,19.97%,,,,,
"BANDA Mustapher  ,PF","3,871",22.78%,11.35%,,,,,
"MLEWA Saidi  ,IND","3,805",22.39%,11.15%,,,,,
"NGOMA Ezekia  ,IND",702,4.13%,2.06%,,,,,
"BANDA Reuben  ,UPND",450,2.65%,1.32%,,,,,
"MWANZA Zawe  ,FDD",449,2.64%,1.32%,,,,,
"MWALE Nelson  ,UNIP",338,1.99%,0.99%,,,,,
,"16,428",,,565,3.32%,"16,993","34,112",49.82%
00000047 SINDA,,,,,,,,
"NGOMA Levy  ,MMD","13,824",82.42%,42.96%,,,,,
"BANDA Iback  ,UPND","1,255",7.48%,3.90%,,,,,
"MILANZI Samuel  ,PF","1,061",6.33%,3.30%,,,,,
,"16,140",,,632,3.77%,"16,772","32,178",52.12%
00000048 CHASEFU,,,,,,,,
"BANDA Chifumu BK ,FDD","11,429",63.96%,29.44%,,,,,
"BANDA Yotam  ,MMD","3,859",21.59%,9.94%,,,,,
"BOTA Bornface  ,PF","1,067",5.97%,2.75%,,,,,
"NGULUBE Daliso  ,UPND",591,3.31%,1.52%,,,,,
"ZIMBA Standson  ,ZED",192,1.07%,0.49%,,,,,
"MBALE Hambani  ,NMP",112,0.63%,0.29%,,,,,
,"17,250",,,620,3.47%,"17,870","38,818",46.04%
00000049 LUMEZI,,,,,,,,
"BANDA Isaac  ,MMD","8,472",49.33%,22.51%,,,,,
"MWALE Clement  ,PF","4,986",29.03%,13.25%,,,,,
"MUMPANSHYA Marjorie B ,UPND","1,721",10.02%,4.57%,,,,,
"LUKHANDA Ezekiel  ,IND","1,339",7.80%,3.56%,,,,,
"MBEWE Mary  ,FDD",214,1.25%,0.57%,,,,,
"KAMANGA Mark  ,ZED",197,1.15%,0.52%,,,,,
"NG'UNI Alick  ,NMP",190,1.11%,0.50%,,,,,
,"17,119",,,54,0.31%,"17,173","37,638",45.63%
00000050 LUNDAZI,,,,,,,,
"LUNGU Mukhondo  ,MMD","11,881",47.89%,24.42%,,,,,
"NGOMA Evans K ,PF","4,942",19.92%,10.16%,,,,,
"BANDA Blessings  ,IND","3,903",15.73%,8.02%,,,,,
"BANDA Allan  ,IND","1,106",4.46%,2.27%,,,,,
"NGULUBE Chrisford E ,UNIP","1,054",4.25%,2.17%,,,,,
"KAMANGA Edith  ,UPND",690,2.78%,1.42%,,,,,
"CHIPETA Chifumu  ,FDD",396,1.60%,0.81%,,,,,
"NKHATA White  ,IND",378,1.52%,0.78%,,,,,
"NYIRONGO Misozi M ,ADD",228,0.92%,0.47%,,,,,
"NYIRENDA Simon RB ,ZED",118,0.48%,0.24%,,,,,
,"24,696",,,114,0.46%,"24,810","48,658",50.99%
00000051 MALAMBO,,,,,,,,
"MWALE Maxwell  ,MMD","7,859",52.60%,27.98%,,,,,
"SHUMA Jacob  ,IND","3,497",23.40%,12.45%,,,,,
"KAUNDA Kaweche  ,PF","2,661",17.81%,9.47%,,,,,
"CHULU Andrew  ,UPND",704,4.71%,2.51%,,,,,
"ZIMBA Bridget  ,UNIP",185,1.24%,0.66%,,,,,
,"14,906",,,36,0.24%,"14,942","28,088",53.20%
00000052 NYIMBA,,,,,,,,
"TEMBO Forrie  ,MMD","8,101",54.89%,24.42%,,,,,
"MWANZA Mabvuto  ,PF","3,387",22.95%,10.21%,,,,,
"MWENDA Moses  ,UPND","1,710",11.59%,5.16%,,,,,
"CHAPONDA Benson  ,ADD",722,4.89%,2.18%,,,,,
"CHIKAVIZU Tyson  ,UNIP",400,2.71%,1.21%,,,,,
"MUMBA Maureen  ,ZED",99,0.67%,0.30%,,,,,
,"14,419",,,339,2.30%,"14,758","33,170",44.49%
00000053 KAPOCHE,,,,,,,,
"BANDA Nicholas  ,MMD","11,139",68.91%,27.55%,,,,,
"SAKALA Paradious  ,PF","3,034",18.77%,7.50%,,,,,
"BANDA Nephat A ,UPND","1,127",6.97%,2.79%,,,,,
"LUNGU Thenes  ,UNIP",314,1.94%,0.78%,,,,,
,"15,614",,,550,3.40%,"16,164","40,435",39.98%
00000054 MSANZALA,,,,,,,,
"LUNGU Joseph  ,IND","8,149",51.17%,27.69%,,,,,
"DAKA Peter  ,MMD","6,203",38.95%,21.08%,,,,,
"BANDA Godfrey  ,PF",722,4.53%,2.45%,,,,,
"MUMBA Levison  ,UPND",277,1.74%,0.94%,,,,,
"NYENDWA Betram  ,ADD",71,0.45%,0.24%,,,,,
,"15,422",,,503,3.16%,"15,925","29,428",54.12%
00000055 PETAUKE,,,,,,,,
"SILIYA Dora  ,MMD","14,561",63.63%,31.22%,,,,,
"BANDA Leonard  ,PF","5,759",25.16%,12.35%,,,,,
"PHIRI Ignasio AS ,UNIP",515,2.25%,1.10%,,,,,
"PHIRI Curthbert  ,UPND",515,2.25%,1.10%,,,,,
"MOOSA Osman A ,IND",470,2.05%,1.01%,,,,,
,"21,820",,,"1,065",4.65%,"22,885","46,635",49.07%
00000056 KAWAMBWA,,,,,,,,
"CHILANGWA Nickson  ,PF","7,293",63.46%,38.21%,,,,,
"CHITIKA Elizabeth  ,MMD","4,052",35.26%,21.23%,,,,,
"NKALAMO Albert  ,UNIP",85,0.74%,0.45%,,,,,
"KAUNDA Thresa  ,ZED",41,0.36%,0.21%,,,,,
,"11,471",,,21,0.18%,"11,492","19,086",60.21%
00000057 MWANSABOMBWE,,,,,,,,
"MWEWA Rodgers  ,PF","7,983",71.48%,38.91%,,,,,
"MWANSA Chriticles  ,MMD","2,796",25.04%,13.63%,,,,,
"CHUBA Kasangala  ,UPND",107,0.96%,0.52%,,,,,
,"10,886",,,282,2.53%,"11,168","20,515",54.44%
00000058 PAMBASHE,,,,,,,,
"CHITOTELA Ronald K ,PF","2,459",27.76%,16.42%,,,,,
"KALIFUNGWA John  ,IND","2,068",23.35%,13.81%,,,,,
"MANDA Boniface B ,IND","1,951",22.03%,13.03%,,,,,
"CHISHYA Bernard B ,MMD","1,273",14.37%,8.50%,,,,,
"KANUNSHYA Honorato  ,IND",898,10.14%,6.00%,,,,,
"MWELELA John  ,FDD",65,0.73%,0.43%,,,,,
"MULU Casimire C ,IND",62,0.70%,0.41%,,,,,
"CHANDA Lucy K ,ZED",52,0.59%,0.35%,,,,,
,"8,828",,,29,0.33%,"8,857","14,978",59.13%
00000059 BAHATI,,,,,,,,
"KALABA Harry  ,PF","14,630",73.41%,45.27%,,,,,
"CHIMBAKA Besa E ,MMD","2,824",14.17%,8.74%,,,,,
"CHABALA Kingstone  ,ADD","1,744",8.75%,5.40%,,,,,
"MWEWA Enorrine  ,UNIP",308,1.55%,0.95%,,,,,
"MUBANGA Peggy  ,FDD",87,0.44%,0.27%,,,,,
,"19,593",,,336,1.69%,"19,929","32,315",61.67%
00000060 CHEMBE,,,,,,,,
"MBULAKULIMA Mwansa  ,MMD","4,485",54.39%,28.81%,,,,,
"MIBENGE Benny  ,PF","3,290",39.90%,21.14%,,,,,
"MOFYA Arthur  ,UPND",258,3.13%,1.66%,,,,,
,"8,033",,,213,2.58%,"8,246","15,565",52.98%
00000061 MANSA CENTRAL,,,,,,,,
"SAKENI Kennedy  ,PF","17,495",59.70%,30.89%,,,,,
"CHILUFYA Chitalu  ,MMD","10,949",37.36%,19.33%,,,,,
"KAPULA Webby  ,UNIP",187,0.64%,0.33%,,,,,
"KOMBE Jecap  ,FDD",99,0.34%,0.17%,,,,,
,"28,730",,,574,1.96%,"29,304","56,628",51.75%
00000062 CHIPILI,,,,,,,,
"MWILA Davies  ,PF","6,623",70.22%,43.86%,,,,,
"KAPUNGWE Jonathan  ,MMD","2,440",25.87%,16.16%,,,,,
"BUNDA Alfred  ,NMP",125,1.33%,0.83%,,,,,
,"9,188",,,244,2.59%,"9,432","15,102",62.46%
00000063 MAMBILIMA,,,,,,,,
"MUMBA Mighty  ,PF","5,292",59.12%,33.84%,,,,,
"CHINYANTA John M ,MMD","3,432",38.34%,21.95%,,,,,
