WARD: 000101001009 KALOLA,,,,,,,,
"MUSHOKOTA DANIEL  - M ,UPND","2,057",75.10% 38.22%,,,,,,
"MUYUYA BRUCE  - M ,PF",575,20.99% 10.68%,,,,,,
"MULOONGO MEJA  - M ,FDD",38,1.39% 0.71%,,,,,,
,,,69,,2.52%,"2,739","5,382",51%
WARD: 000101001010 CHALOSHI,,,,,,,,
"KALASA CHRISTABELL  - F ,PF","1,519",56.36% 24.70%,,,,,,
"MUCHAPE WEBSTER  - M ,UPND","1,063",39.44% 17.28%,,,,,,
,,,113,,4.19%,"2,695","6,151",44%
WARD: 000101001011 CHIKOBO,,,,,,,,
"MUBATSA REAGAN  - M ,UPND","1,182",54.22% 28.94%,,,,,,
"MAMBO WESLEY  - M ,PF",648,29.72% 15.87%,,,,,,
"TEPA ELIAS  - M ,IND",268,12.29% 6.56%,,,,,,
,,,82,,3.76%,"2,180","4,084",53%
WARD: 000101001012 CHIBOMBO,,,,,,,,
"MUSHANGA STEPHEN  - M ,UPND","1,660",54.93% 25.96%,,,,,,
"SOBONGO PEPSANIKO  - M ,PF",926,30.64% 14.48%,,,,,,
"MALAKATA COLLINS  - M ,IND",306,10.13% 4.79%,,,,,,
,,,130,,4.30%,"3,022","6,394",47%
WARD: 000101001013 KAKOMA,,,,,,,,
"YUMBA WINSTON  - M ,UPND","1,933",54.12% 31.10%,,,,,,
"KAKOMPE CASSIUS  - M ,PF","1,108",31.02% 17.82%,,,,,,
"CHAAMBWA MAPULANGA  - M ,FDD",394,11.03% 6.34%,,,,,,
,,,137,,3.84%,"3,572","6,216",57%
WARD: 000101001014 MASHIKILI,,,,,,,,
"MUMBA BRIGHTON  - M ,PF",771,35.96% 16.93%,,,,,,
"KALILILO DELILAH MS - F ,UPND",659,30.74% 14.47%,,,,,,
"HAMATANGA KINATO  - M ,IND",635,29.62% 13.95%,,,,,,
,,,79,,3.68%,"2,144","4,553",47%
WARD: 000101001015 MALAMBANYAMA,,,,,,,,
"MULIMBWA SHALUMBA  - M ,UPND","2,492",66.24% 31.60%,,,,,,
"NACHIBINGA RAYMOND  - M ,PF",647,17.20% 8.21%,,,,,,
"MWANACHINGWALA NECKSON  - M ,IND",439,11.67% 5.57%,,,,,,
,,,184,,4.89%,"3,762","7,885",48%
WARD: 000101001016 LUNJOFWA,,,,,,,,
"KALINDA OLIVER  - M ,UPND","1,694",75.02% 37.05%,,,,,,
"TEMBO COLLINS  - M ,IND",429,19.00% 9.38%,,,,,,
WARD: 000101001017 CHITANDA,,,,,,,,
"LUMAMBA JANE  - F ,UPND","1,770",69.71% 32.65%,,,,,,
"CHILENGA ALFRED  - M ,PF",628,24.73% 11.58%,,,,,,
,,,141,,5.55%,"2,539","5,421",47%
WARD: 000101001018 MUNDU,,,,,,,,
"CHIBANDIKA OBVIOUS  - M ,UPND","2,460",84.89% 47.15%,,,,,,
"MILIMO LYAMBELA  - M ,IND",232,8.01% 4.45%,,,,,,
,,,206,,7.11%,"2,898","5,217",56%
WARD: 000101001019 IPONGO,,,,,,,,
"CHINAKA JOHN  - M ,UPND","1,779",79.74% 42.08%,,,,,,
"KATUNTA KIDSON  - M ,IND",262,11.74% 6.20%,,,,,,
,,,190,,8.52%,"2,231","4,228",53%
,,"01010003 ,CHISAMBA CONSTITUENCY",,,,,,
WARD: 000101002001 MUSWISHI,,,,,,,,
"HANG`OMBE IGNATIUS  - M ,UPND","1,585",59.30% 28.78%,,,,,,
"KILUMELUME STARFORD  - M ,PF",949,35.50% 17.23%,,,,,,
"SOKO TAFALA  - M ,FDD",35,1.31% 0.64%,,,,,,
,,,104,,3.89%,"2,673","5,507",49%
WARD: 000101002002 CHIKONKOMENE,,,,,,,,
"SEKELETI DOMINIC  - M ,UPND","1,108",55.46% 28.32%,,,,,,
"LUMANO KHACKSON  - M ,PF",688,34.43% 17.59%,,,,,,
"MBEWE RINIVOR  - F ,FDD",135,6.76% 3.45%,,,,,,
,,,67,,3.35%,"1,998","3,912",51%
WARD: 000101002003 MULUNGUSHI,,,,,,,,
"MALAMBO EVARISTO  - M ,UPND","1,397",65.22% 33.14%,,,,,,
"SHONIWA PHILLIP  - M ,PF",675,31.51% 16.01%,,,,,,
,,,70,,3.27%,"2,142","4,215",51%
WARD: 000101002004 MWANTAYA,,,,,,,,
"MUPENYU SIMBA M - M ,UPND",140,56.00% 47.14%,,,,,,
"LITETA FRAZER  - M ,PF",110,44.00% 37.04%,,,,,,
,,,0,,0.00%,250,297,84%
WARD: 000101002005 MWAPULA,,,,,,,,
"MOONGA CHIMANDA  - M ,UPND","1,959",79.28% 48.70%,,,,,,
"MOONGA MOST K - M ,PF",425,17.20% 10.56%,,,,,,
,,,87,,3.52%,"2,471","4,023",61%
WARD: 000101002006 CHAMUKA,,,,,,,,
"MWAPE FRED  - M ,UPND","1,322",65.84% 31.73%,,,,,,
"MPONGO OWEN  - M ,PF",518,25.80% 12.43%,,,,,,
"MALAMBO MILDRED  - F ,FDD",73,3.64% 1.75%,,,,,,
,,,95,,4.73%,"2,008","4,166",48%
"NG`AMBI JOSEPHINE  - F ,PF","1,773",52.09% 20.75%,,,,,,
"KIYEYA EUSTACE  - M ,UPND","1,458",42.83% 17.06%,,,,,,
"LITUNTAMI MOSES  - M ,FDD",57,1.67% 0.67%,,,,,,
,,,116,,3.41%,"3,404","8,546",40%
WARD: 000101002008 MISWA,,,,,,,,
"NKONDE STEPHEN  - M ,PF",402,53.32% 20.65%,,,,,,
"KABAZA JONES  - M ,UPND",322,42.71% 16.54%,,,,,,
,,,30,,3.98%,754,"1,947",39%
WARD: 000101002009 LITETA,,,,,,,,
"KAPATA FINES  - M ,UPND","2,616",64.86% 32.35%,,,,,,
"MWALE FRANCIS C - M ,PF","1,017",25.22% 12.58%,,,,,,
"CHIMINSA ELINA  - F ,FDD",249,6.17% 3.08%,,,,,,
,,,151,,3.74%,"4,033","8,086",50%
WARD: 000101002010 MUTENGA,,,,,,,,
"MATONGO SATURDAY  - M ,UPND","2,236",73.36% 37.27%,,,,,,
"CHITENDWE MONTE  - M ,PF",690,22.64% 11.50%,,,,,,
,,,122,,4.00%,"3,048","5,999",51%
,,"01010004 ,CHITAMBO CONSTITUENCY",,,,,,
WARD: 000101003001 NAKATAMBO,,,,,,,,
"KUNDA MACKSON  - M ,PF",711,89.32% 45.93%,,,,,,
"KANGWA KAILENZI C - F ,UPND",71,8.92% 4.59%,,,,,,
,,,14,,1.76%,796,"1,548",51%
WARD: 000101003002 CHITAMBO,,,,,,,,
"KAPOTWE FELIX  - M ,PF",955,93.17% 31.98%,,,,,,
"MUBITA RAPHAEL  - M ,UPND",57,5.56% 1.91%,,,,,,
,,,13,,1.27%,"1,025","2,986",34%
WARD: 000101003003 MUCHINKA,,,,,,,,
"CHITENTA GREGORY  - M ,PF",990,71.48% 32.24%,,,,,,
"CHIBUYE LIANA  - M ,UPND",219,15.81% 7.13%,,,,,,
"MWAPE SAMUEL  - M ,FDD",120,8.66% 3.91%,,,,,,
,,,56,,4.04%,"1,385","3,071",45%
WARD: 000101003004 LUSENGA,,,,,,,,
"MWATI ABITTY  - M ,PF","1,020",73.81% 35.80%,,,,,,
"CHISENGA BARRON  - M ,UPND",183,13.24% 6.42%,,,,,,
"NGOSA DANNIS  - M ,FDD",137,9.91% 4.81%,,,,,,
,,,42,,3.04%,"1,382","2,849",49%
WARD: 000101003005 CHALILO,,,,,,,,
"PHIRI MABVUTO  - M ,PF",736,79.22% 40.37%,,,,,,
"SHIBWELA DAVID  - M ,UPND",164,17.65% 9.00%,,,,,,
,,,29,,3.12%,929,"1,823",51%
WARD: 000101003006 CHIPUNDU,,,,,,,,
"MWAPE DIWELL  - M ,PF","1,073",79.01% 43.94%,,,,,,
"KALONDE ADON  - M ,UPND",260,19.15% 10.65%,,,,,,
,,,25,1.84%,,"1,358","2,442",56%
WARD: 000101003007 MPELEMBE,,,,,,,,
"CHANGWE STANSLOUS  - M ,PF","1,390",78.53% 36.07%,,,,,,
"NGULUBE JORDAN  - M ,UPND",335,18.93% 8.69%,,,,,,
,,,45,2.54%,,"1,770","3,854",46%
WARD: 000101003008 LUOMBWA,,,,,,,,
"SABE EVANS  - M ,PF",597,83.26% 45.54%,,,,,,
"KUNDA CHEMBE  - F ,UPND",100,13.95% 7.63%,,,,,,
,,,20,2.79%,,717,"1,311",55%
,,"01010005 ,ITEZHITEZHI CONSTITUENCY",,,,,,
WARD: 000101004001 ITEZHITEZHI,,,,,,,,
"MALUMBE AMOS  - M ,UPND","1,153",68.96% 37.57%,,,,,,
"DAKA JULIUS  - M ,PF",409,24.46% 13.33%,,,,,,
"CHIMWAMBU SAMUEL  - M ,RAINBOW",73,4.37% 2.38%,,,,,,
,,,37,2.21%,,"1,672","3,069",54%
WARD: 000101004002 ITUMBI,,,,,,,,
"MUSANGU BOYD  - M ,UPND","2,122",85.77% 51.93%,,,,,,
"PHIRI NGAWA  - F ,PF",211,8.53% 5.16%,,,,,,
"VUMANGO GIVEN  - M ,RAINBOW",77,3.11% 1.88%,,,,,,
,,,64,2.59%,,"2,474","4,086",61%
WARD: 000101004003 KAANZWA,,,,,,,,
"SYAKAYUWA GINTER  - M ,UPND","1,761",80.23% 52.69%,,,,,,
"MUSHAKABANTU HUNPREY  - M ,PF",192,8.75% 5.75%,,,,,,
"SHIKAUMBU GLADY  - M ,RAINBOW",159,7.24% 4.76%,,,,,,
,,,83,3.78%,,"2,195","3,342",66%
WARD: 000101004004 BANAMWAZE,,,,,,,,
"MANGOLO ISRAEL  - M ,UPND",892,69.09% 50.00%,,,,,,
"CHIZAWU DAVID  - M ,PF",272,21.07% 15.25%,,,,,,
"CHUMA DORIS  - F ,RAINBOW",106,8.21% 5.94%,,,,,,
,,,21,1.63%,,"1,291","1,784",72%
WARD: 000101004005 MAKUNKU,,,,,,,,
"MUUWO FAVOURITY M - F ,UPND",800,50.99% 36.55%,,,,,,
"MPAMBA MUTANDE  - M ,IND",370,23.58% 16.90%,,,,,,
"HASALAMA GEOFFREY  - M ,RAINBOW",261,16.63% 11.92%,,,,,,
"NAMALUBA FEELINGS  - M ,PF",95,6.05% 4.34%,,,,,,
"CHUBA SHIMUNGA F - M ,FDD",4,0.25% 0.18%,,,,,,
,,,39,2.49%,,"1,569","2,189",72%
WARD: 000101004006 NYAMBO,,,,,,,,
"BINDA RICKY  - M ,UPND",645,81.65% 52.02%,,,,,,
"SIKASIYE ANDSON  - M ,RAINBOW",81,10.25% 6.53%,,,,,,
"MUBANGA SEBASTIAN  - M ,PF",46,5.82% 3.71%,,,,,,
"MUTAMBWA BILLY  - M ,FDD",4,0.51% 0.32%,,,,,,
,,,14,,1.77%,790,"1,240",64%
WARD: 000101004007 KABULUNGWE,,,,,,,,
"MWENDA KENNEDY A - M ,UPND",163,61.98% 25.08%,,,,,,
"MWENDA BRIGHTON  - M ,PF",91,34.60% 14.00%,,,,,,
"MUSUMINA MAXWELL S - M ,RAINBOW",3,1.14% 0.46%,,,,,,
"NYAMBE MASILISO  - M ,FDD",1,0.38% 0.15%,,,,,,
,,,5,,1.90%,263,650,40%
WARD: 000101004008 LUBANDA,,,,,,,,
"KAYUKWA WINBOY  - M ,UPND","2,523",90.27% 62.14%,,,,,,
"KAMANO LETESI  - M ,PF",173,6.19% 4.26%,,,,,,
"SIABALIMA LUUNDU  - M ,FDD",37,1.32% 0.91%,,,,,,
,,,62,,2.22%,"2,795","4,060",69%
WARD: 000101004009 MASEMU,,,,,,,,
"MULOONGO VERONICA  - F ,UPND","2,357",68.74% 39.43%,,,,,,
"MWANSA JOHN  - M ,PF",703,20.50% 11.76%,,,,,,
"BANDA BIZECK  - M ,RAINBOW",220,6.42% 3.68%,,,,,,
"MAHERE RICHARD  - M ,FDD",53,1.55% 0.89%,,,,,,
,,,96,,2.80%,"3,429","5,978",57%
WARD: 000101004010 BASANGA,,,,,,,,
"MUCHINDU RAPHAEL  - M ,UPND","1,084",71.32% 46.97%,,,,,,
"SHANSALI KEBBY  - M ,PF",207,13.62% 8.97%,,,,,,
"KAANDE FREDRICK  - M ,RAINBOW",132,8.68% 5.72%,,,,,,
"HAMUKUWA PRIVINA  - F ,FDD",27,1.78% 1.17%,,,,,,
,,,70,,4.61%,"1,520","2,308",66%
WARD: 000101004011 LUUBWE,,,,,,,,
"SHANDUBA BOYD  - M ,UPND","1,686",91.04% 66.77%,,,,,,
"CHIPANDWE MOFFAT  - M ,PF",85,4.59% 3.37%,,,,,,
"SHANDUBA SYVIA  - F ,RAINBOW",24,1.30% 0.95%,,,,,,
"SHANGO'MBA BEGGINS  - M ,FDD",14,0.76% 0.55%,,,,,,
,,,43,,2.32%,"1,852","2,525",73%
WARD: 000101004012 LUCHENA,,,,,,,,
"NAMILANDO BOLIVIA  - M ,UPND",605,73.51% 46.36%,,,,,,
"MABONA VINCENT  - M ,RAINBOW",152,18.47% 11.65%,,,,,,
"MATE RICHARD  - M ,PF",46,5.59% 3.52%,,,,,,
,,,20,,2.43%,823,"1,305",63%
WARD: 000101004013 MBILA,,,,,,,,
"MULOWA EDWARD  - M ,UPND","5,089",95.05% 72.42%,,,,,,
"SHAMWAZE BETS  - M ,PF",128,2.39% 1.82%,,,,,,
,,,137,,2.56%,"5,354","7,027",76%
,,"01010006 ,BWACHA CONSTITUENCY",,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
"KALUNGU JOSEPH  - M ,PF",821,49.85%,26.64%,,,,,
"KAMBUNJI ISAAC  - M ,UPND",468,28.42%,15.18%,,,,,
"CHISELA EDWIN  - M ,FDD",323,19.61%,10.48%,,,,,
,,,,35,2.13%,"1,647","3,082",53%
WARD: 000101005002 BWACHA,,,,,,,,
"SICHAMBA DOMINIC  - M ,PF","1,756",60.78%,34.35%,,,,,
"LWIMBA VINCENT  - M ,UPND",647,22.40%,12.66%,,,,,
"TEMBO LOUIS  - M ,FDD",452,15.65%,8.84%,,,,,
,,,,34,1.18%,"2,889","5,112",57%
WARD: 000101005003 CHILILALILA,,,,,,,,
"CHEWE GEORGE  - M ,PF","1,175",73.35%,35.73%,,,,,
"PHIRI BERNARD  - M ,UPND",357,22.28%,10.85%,,,,,
,,,,70,4.37%,"1,602","3,289",49%
WARD: 000101005004 CHIMANIMANI,,,,,,,,
"ZIBA GIVEN  - M ,UPND",478,50.21%,18.94%,,,,,
"MAKALIKI FRAZER  - M ,PF",407,42.75%,16.13%,,,,,
"CHOOLO VICTOR  - M ,FDD",55,5.78%,2.18%,,,,,
,,,,12,1.26%,952,"2,524",38%
WARD: 000101005005 CHINYANJA,,,,,,,,
"MUKWENYA NG`ANDU  - M ,UPND",674,58.61%,31.41%,,,,,
"CHIKALIPA GABRIEL B - M ,PF",407,35.39%,18.97%,,,,,
"MWALE RODRICK  - M ,FDD",28,2.43%,1.30%,,,,,
,,,,41,3.57%,"1,150","2,146",54%
WARD: 000101005011 KANG'OMBA,,,,,,,,
"TEMBO ANDERSON  - M ,PF",867,61.32%,33.27%,,,,,
"MIYOBA MANFRED  - M ,UPND",505,35.71%,19.38%,,,,,
,,,,42,2.97%,"1,414","2,606",54%
WARD: 000101005013 KAWAMA,,,,,,,,
"MOYO LACKSON  - M ,PF","1,670",56.36%,30.72%,,,,,
"SAIN ERNEST  - M ,UPND",517,17.45%,9.51%,,,,,
"MUMBA GOLDEN  - M ,FDD",495,16.71%,9.11%,,,,,
"TEMBO PATRICK  - M ,IND",182,6.14%,3.35%,,,,,
,,,,99,3.34%,"2,963","5,436",55%
WARD: 000101005016 MAKULULU,,,,,,,,
"KOLALA VICTOR  - M ,PF","1,881",73.45%,37.23%,,,,,
"NYIRONGO MATHEWS  - M ,UPND",532,20.77%,10.53%,,,,,
"SIWALE JACOB  - M ,FDD",76,2.97%,1.50%,,,,,
,,,,72,2.81%,"2,561","5,053",51%
WARD: 000101005017 MOOMBA,,,,,,,,
"MUTALE CAPHAS M - M ,PF","1,423",70.27%,36.28%,,,,,
"KHONDOWE YOUSUF  - M ,UPND",574,28.35%,14.64%,,,,,
,,,,28,1.38%,"2,025","3,922",52%
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
WARD: 000101005020 MUNYAMA,,,,,,,,
"CHIBWANA HAROON  - M ,UPND",442 49.72%,29.41%,,,,,,
"SIAMUSAKA WESLEY  - M ,PF",431 48.48%,28.68%,,,,,,
,,,16,1.80%,,889,"1,503",59%
WARD: 000101005021 MUWOWO EAST,,,,,,,,
"MUMBA MOSES  - M ,PF",471 51.53%,24.01%,,,,,,
"SINGOMBE MOSES  - M ,UPND",223 24.40%,11.37%,,,,,,
"MUMBA ANDERSON  - M ,IND",200 21.88%,10.19%,,,,,,
,,,20,2.19%,,914,"1,962",47%
WARD: 000101005022 MUWOWO WEST,,,,,,,,
"MUSONDA DAVIES  - M ,PF",264 43.71%,26.14%,,,,,,
"MBEWE IGNITIOUS  - M ,FDD",184 30.46%,18.22%,,,,,,
"SICHAMBWA COLLINS  - M ,UPND",134 22.19%,13.27%,,,,,,
,,,22,3.64%,,604,"1,010",60%
WARD: 000101005024 NGUNGU,,,,,,,,
"MUHONE SAMSON  - M ,PF",968 66.35%,28.93%,,,,,,
"CHAMBULUKA BRUNO  - M ,UPND",429 29.40%,12.82%,,,,,,
"KAPASO WEBBY  - M ,FDD",32 2.19%,0.96%,,,,,,
,,,30,2.06%,,"1,459","3,346",44%
WARD: 000101005027 ZAMBEZI,,,,,,,,
"MULENGA MOSES  - M ,PF",853 67.64%,32.00%,,,,,,
"BANDA JOHN  - M ,IND",209 16.57%,7.84%,,,,,,
"MFULA MULENGA  - M ,UPND",171 13.56%,6.41%,,,,,,
"MULENGA ADRIAN  - M ,FDD",21 1.67%,0.79%,,,,,,
,,,7,0.56%,,"1,261","2,666",47%
,"01010007 ,KABWE CENTRAL CONSTITUENCY",,,,,,,
WARD: 000101005006 CHIRWA,,,,,,,,
"MUSONDA COLLINS  - M ,PF","2,513 66.39%",33.98%,,,,,,
"KAWANAMBULU PAUL  - M ,UPND",966 25.52%,13.06%,,,,,,
"MWANZA CHRISTOPHER  - M ,FDD",220 5.81%,2.97%,,,,,,
,,,86,2.27%,,"3,785","7,395",51%
WARD: 000101005007 DAVID RAMUSHU,,,,,,,,
"MUMBA PATRICK  - M ,PF","1,189 62.88%",34.82%,,,,,,
"CHIMFWEMBE MOSES  - M ,UPND",557 29.46%,16.31%,,,,,,
"NAMUTENDA VIOLET  - F ,FDD",103 5.45%,3.02%,,,,,,
,,,42,2.22%,,"1,891","3,415",55%
WARD: 000101005008 HIGHRIDGE,,,,,,,,
"BOWA CHARLES  - M ,PF","2,163 61.07%",32.40%,,,,,,
"MWANAUMO KABANDA  - M ,UPND","1,340 37.83%",20.07%,,,,,,
,,,39,1.10%,,"3,542","6,675",53%
WARD: 000101005009 JUSTINE KABWE,,,,,,,,
"KASUSU WILLIAM  - M ,PF",986 52.20%,28.47%,,,,,,
,VOTES OBTAINED,% AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,,VOTES CAST,REGISTERED,VOTES,PAPERS %,CAST,VOTERS,TURNOUT
,,,VOTERS,,,,,
"MWAMBA LEWIS  - M ,UPND",474,25.09%,13.69%,,,,,
"CHILEYA KABEMBO M - M ,IND",347,18.37%,10.02%,,,,,
"CHILUBA JOSEPH  - M ,FDD",48,2.54%,1.39%,,,,,
,,,,34,1.80%,"1,889","3,463",55%
WARD: 000101005010 KALONGA,,,,,,,,
"CHUNGU BETTY B - F ,PF","1,964",58.59%,32.59%,,,,,
"MUDAALA HAAMBO  - M ,UPND","1,222",36.46%,20.28%,,,,,
"MULENGA LAWRENCE  - M ,FDD",104,3.10%,1.73%,,,,,
,,,,62,1.85%,"3,352","6,027",56%
WARD: 000101005012 KAPUTULA,,,,,,,,
"MUKUKA HUMPHREY  - M ,PF","2,350",62.50%,31.29%,,,,,
"HAMATWI JOSEPH  - M ,UPND","1,275",33.91%,16.98%,,,,,
"JALABANI DAVIES  - M ,FDD",56,1.49%,0.75%,,,,,
,,,,79,2.10%,"3,760","7,511",50%
WARD: 000101005014 LUANGWA,,,,,,,,
"SIAME MUPELESI H C - M ,PF","2,472",54.31%,29.19%,,,,,
"PULE OWEN  - M ,UPND","1,544",33.92%,18.23%,,,,,
"LONGWANI BIBUSA  - M ,IND",382,8.39%,4.51%,,,,,
"IMANGOLWA LUBINDA  - M ,IND",88,1.93%,1.04%,,,,,
,,,,66,1.45%,"4,552","8,469",54%
WARD: 000101005015 LUANSASE,,,,,,,,
"MACHUTA GODRICH  - M ,PF","1,878",69.84%,36.44%,,,,,
"MUBIANA LIBANDA  - M ,UPND",701,26.07%,13.60%,,,,,
"SIMBAYA PIDIAS  - M ,FDD",60,2.23%,1.16%,,,,,
,,,,50,1.86%,"2,689","5,153",52%
WARD: 000101005018 MPIMA,,,,,,,,
"MWENDA RABSON  - M ,PF","1,639",49.76%,25.98%,,,,,
"BELEMU SIBANZE  - M ,UPND","1,562",47.42%,24.76%,,,,,
,,,,93,2.82%,"3,294","6,308",52%
WARD: 000101005023 NAKOLI,,,,,,,,
"CHITYAKA CHARLES  - M ,PF","1,302",56.14%,30.10%,,,,,
"MATANDIKO PATRICK  - M ,UPND",982,42.35%,22.71%,,,,,
,,,,35,1.51%,"2,319","4,325",54%
WARD: 000101005025 NJANJI,,,,,,,,
"SIWALE AARON  - M ,PF","1,429",66.96%,37.04%,,,,,
"CHIPEKA RAYMOND  - M ,UPND",683,32.01%,17.70%,,,,,
,,,,22,1.03%,"2,134","3,858",55%
WARD: 000101005026 WAYA,,,,,,,,
"MUMBA EVANS  - M ,PF",994,57.86%,31.58%,,,,,
"CHILEMA NAKAMBALA B - M ,UPND",431,25.09%,13.69%,,,,,
"KABAMBA AUGUSTINE  - M ,IND",177,10.30%,5.62%,,,,,
"MUMBI DERRICK  - M ,FDD",54,3.14%,1.72%,,,,,
,VOTES OBTAINED % AGAINST,% AGAINST,REJECTED,REJECTED BALLOT,,TOTAL VOTES,REGISTERED,PERCENTAGE
NAMES,VOTES CAST,REGISTERED,VOTES,PAPERS %,,CAST,VOTERS,TURNOUT
,,VOTERS,,,,,,
,,,62,3.61%,,"1,718","3,148",55%
,"01010008 ,KAPIRI MPOSHI CONSTITUENCY",,,,,,,
WARD: 000101006001 KASHITU,,,,,,,,
"KAPU PATHIAS  - M ,PF","1,422 52.78%",21.61%,,,,,,
"NKHOMA FRANCIS  - M ,UPND","1,175 43.62%",17.85%,,,,,,
,,,97,3.60%,,"2,694","6,581",41%
WARD: 000101006002 MUSHIMBILI,,,,,,,,
"MUTAMBO JOHN  - M ,PF","1,469 46.75%",20.20%,,,,,,
"MUWAIKA HECTOR  - M ,UPND","1,438 45.77%",19.77%,,,,,,
"KACHUSHI DOREEN  - F ,FDD",75 2.39%,1.03%,,,,,,
,,,160,5.09%,,"3,142","7,274",43%
WARD: 000101006003 KAPIRI MPOSHI,,,,,,,,
"MUSONDA SIMON  - M ,PF","7,635 70.36%",32.67%,,,,,,
"MUTALE GEOFFREY  - M ,UPND","2,947 27.16%",12.61%,,,,,,
,,,270,2.49%,,"10,852","23,372",46%
WARD: 000101006004 LUNCHU,,,,,,,,
"NGOSA OBET  - M ,PF","1,380 49.29%",20.10%,,,,,,
"ZIMBA LAWRENCE  - M ,UPND","1,350 48.21%",19.66%,,,,,,
,,,70,2.50%,,"2,800","6,867",41%
WARD: 000101006005 LUNSEMFWA,,,,,,,,
"MWIINGA CHRISTOPHER  - M ,UPND","1,529 65.85%",33.57%,,,,,,
"BWALYA JOHN  - M ,PF",729 31.40%,16.00%,,,,,,
,,,64,2.76%,,"2,322","4,555",51%
WARD: 000101006006 CHANG'ONDO,,,,,,,,
"NACHINSAMBWE ELIZABETH M - F ,PF","1,066 49.65%",24.24%,,,,,,
"CHIGANTU VINCENT  - M ,UPND","1,017 47.37%",23.12%,,,,,,
,,,64,2.98%,,"2,147","4,398",49%
WARD: 000101006007 KAKWELESA,,,,,,,,
"CHIBONI BENNY  - M ,PF","1,259 45.92%",20.33%,,,,,,
"SHANANG'OMBE MOST  - M ,UPND","1,052 38.37%",16.98%,,,,,,
"NG`AMBI PETER  - M ,FDD",309 11.27%,4.99%,,,,,,
,,,122,4.45%,,"2,742","6,194",44%
WARD: 000101006008 MUBOFWE,,,,,,,,
"MAKONDO SHELOBY  - M ,UPND","1,591 58.58%",32.28%,,,,,,
"CHIBUYE PETER  - M ,PF","1,007 37.08%",20.43%,,,,,,
,,,118,4.34%,,"2,716","4,928",55%
