prov,council,cons,candid,party,votes,pct_cast,pct_registered,rejected,pct_rejected,cast,registered,turnout
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","8,192",18.15,11.98,,,,,
,,,SATA Michael M.C,PF,"6,255",13.86,9.15,,,,,
,,,MIYANDA Godfrey K,HP,429,0.95,0.63,,,,,
,,,NGONDO Winright K,APC,164,0.36,0.24,,,,,
,,,,,"43,910",97.28,64.21,"1,229",2.72,"45,139","68,383",66.01
,MKUSHI,007 Mkushi North,MWANAWASA Levy,MMD,"15,026",76.27,51.49,,,,,
,,,SATA Michael M.C,PF,"1,968",9.99,6.74,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,791",9.09,6.14,,,,,
,,,MIYANDA Godfrey K,HP,185,0.94,0.63,,,,,
,,,NGONDO Winright K,APC,88,0.45,0.3,,,,,
,,,,,"19,058",96.74,65.31,643,3.26,"19,701","29,181",67.51
,,008 Mkushi South,MWANAWASA Levy,MMD,"5,246",71.55,54.65,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,453",19.82,15.14,,,,,
,,,SATA Michael M.C,PF,362,4.94,3.77,,,,,
,,,MIYANDA Godfrey K,HP,72,0.98,0.75,,,,,
,,,NGONDO Winright K,APC,32,0.44,0.33,,,,,
,,,,,"7,165",97.72,74.64,167,2.28,"7,332","9,599",76.38
,MUMBWA,009 Mwembezhi,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,617",54.53,41.32,,,,,
,,,MWANAWASA Levy,MMD,"4,981",35.66,27.02,,,,,
,,,SATA Michael M.C,PF,929,6.65,5.04,,,,,
,,,MIYANDA Godfrey K,HP,107,0.77,0.58,,,,,
,,,NGONDO Winright K,APC,52,0.37,0.28,,,,,
,,,,,"13,686",97.97,74.24,283,2.03,"13,969","18,434",75.78
,,010 Mumbwa,MWANAWASA Levy,MMD,"10,608",59.51,42.82,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","5,849",32.81,23.61,,,,,
,,,SATA Michael M.C,PF,853,4.78,3.44,,,,,
,,,MIYANDA Godfrey K,HP,153,0.86,0.62,,,,,
,,,NGONDO Winright K,APC,53,0.3,0.21,,,,,
,,,,,"17,516",98.26,70.71,311,1.74,"17,827","24,771",71.97
,,011 Nangoma,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","8,182",57.56,42.18,,,,,
,,,MWANAWASA Levy,MMD,"4,900",34.47,25.26,,,,,
,,,SATA Michael M.C,PF,473,3.33,2.44,,,,,
,,,MIYANDA Godfrey K,HP,313,2.2,1.61,,,,,
,,,NGONDO Winright K,APC,39,0.27,0.2,,,,,
,,,,,"13,907",97.84,71.69,307,2.16,"14,214","19,400",73.27
,SERENJE,012 Chitambo,MWANAWASA Levy,MMD,"7,435",81.71,57.72,,,,,
,,,SATA Michael M.C,PF,957,10.52,7.43,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",309,3.4,2.4,,,,,
,,,MIYANDA Godfrey K,HP,97,1.07,0.75,,,,,
,,,NGONDO Winright K,APC,49,0.54,0.38,,,,,
,,,,,"8,847",97.23,68.68,252,2.77,"9,099","12,881",70.64
CENTRAL,,013 Muchinga,MWANAWASA Levy,MMD,"7,444",79.73,57.08,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,086",11.63,8.33,,,,,
,,,SATA Michael M.C,PF,450,4.82,3.45,,,,,
,,,MIYANDA Godfrey K,HP,113,1.21,0.87,,,,,
,,,NGONDO Winright K,APC,41,0.44,0.31,,,,,
,,,,,"9,134",97.84,70.04,202,2.16,"9,336","13,041",71.59
,,014 Serenje Central,MWANAWASA Levy,MMD,"8,791",78.62,53.58,,,,,
,,,SATA Michael M.C,PF,"1,179",10.54,7.19,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",636,5.69,3.88,,,,,
,,,MIYANDA Godfrey K,HP,106,0.95,0.65,,,,,
,,,NGONDO Winright K,APC,65,0.58,0.4,,,,,
,,,,,"10,777",96.39,65.69,404,3.61,"11,181","16,406",68.15
COPPERBELT,CHILILABOMBWE,015 Chililabombwe,SATA Michael M.C,PF,"12,930",62.2,43.62,,,,,
,,,MWANAWASA Levy,MMD,"6,667",32.07,22.49,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",932,4.48,3.14,,,,,
,,,MIYANDA Godfrey K,HP,204,0.98,0.69,,,,,
,,,NGONDO Winright K,APC,55,0.26,0.19,,,,,
,,,,,"20,788",100,70.14,0,0,"20,788","29,639",70.14
,CHINGOLA,016 Chingola,SATA Michael M.C,PF,"15,099",50.87,37.52,,,,,
,,,MWANAWASA Levy,MMD,"11,328",38.17,28.15,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,686",9.05,6.67,,,,,
,,,MIYANDA Godfrey K,HP,437,1.47,1.09,,,,,
,,,NGONDO Winright K,APC,129,0.43,0.32,,,,,
,,,,,"29,679",100,73.75,0,0,"29,679","40,244",73.75
,,,,,,,,,,,,
,,017 Nchanga,SATA Michael M.C,PF,"16,857",71.53,57.24,,,,,
,,,MWANAWASA Levy,MMD,"4,873",20.68,16.55,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,436",6.09,4.88,,,,,
,,,MIYANDA Godfrey K,HP,374,1.59,1.27,,,,,
,,,NGONDO Winright K,APC,27,0.11,0.09,,,,,
,,,,,"23,567",100,80.03,0,0,"23,567","29,448",80.03
,KALULUSHI,018 Kalulushi,SATA Michael M.C,PF,"13,265",49.21,36.57,,,,,
,,,MWANAWASA Levy,MMD,"11,242",41.71,30.99,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,931",7.16,5.32,,,,,
,,,MIYANDA Godfrey K,HP,445,1.65,1.23,,,,,
,,,NGONDO Winright K,APC,73,0.27,0.2,,,,,
,,,,,"26,956",100,74.31,0,0,"26,956","36,275",74.31
,KITWE,019 Chimwemwe,SATA Michael M.C,PF,"13,569",57.83,43.7,,,,,
,,,MWANAWASA Levy,MMD,"8,241",35.12,26.54,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,319",5.62,4.25,,,,,
,,,MIYANDA Godfrey K,HP,280,1.19,0.9,,,,,
,,,NGONDO Winright K,APC,56,0.24,0.18,,,,,
,,,,,"23,465",100,75.57,0,0,"23,465","31,052",75.57
,,020 Kamfinsa,SATA Michael M.C,PF,"10,878",58.22,42.85,,,,,
,,,MWANAWASA Levy,MMD,"5,975",31.98,23.54,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,489",7.97,5.87,,,,,
,,,MIYANDA Godfrey K,HP,342,1.83,1.35,,,,,
,,,NGONDO Winright K,APC,0,0,0,,,,,
,,,,,"18,684",100,73.6,0,0,"18,684","25,387",73.6
,,021 Kwacha,SATA Michael M.C,PF,"18,340",62.02,45.37,,,,,
,,,MWANAWASA Levy,MMD,"7,956",26.9,19.68,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,738",9.26,6.77,,,,,
,,,MIYANDA Godfrey K,HP,485,1.64,1.2,,,,,
,,,NGONDO Winright K,APC,54,0.18,0.13,,,,,
,,,,,"29,573",100,73.17,0,0,"29,573","40,419",73.17
,,022 Nkana,SATA Michael M.C,PF,"15,177",69.52,52.72,,,,,
,,,MWANAWASA Levy,MMD,"4,277",19.59,14.86,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,015",9.23,7,,,,,
,,,MIYANDA Godfrey K,HP,326,1.49,1.13,,,,,
,,,NGONDO Winright K,APC,36,0.16,0.13,,,,,
,,,,,"21,831",100,75.83,0,0,"21,831","28,789",75.83
,,,,,,,,,,,,
,,023 Wusakile,SATA Michael M.C,PF,"17,614",73.17,65.07,,,,,
,,,MWANAWASA Levy,MMD,"5,206",21.62,19.23,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,023",4.25,3.78,,,,,
,,,MIYANDA Godfrey K,HP,208,0.86,0.77,,,,,
,,,NGONDO Winright K,APC,23,0.1,0.08,,,,,
,,,,,"24,074",100,88.93,0,0,"24,074","27,070",88.93
COPPERBELT,LUANSHYA,024 Luanshya,SATA Michael M.C,PF,"11,159",46.47,33.64,,,,,
,,,MWANAWASA Levy,MMD,"10,191",42.44,30.72,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,234",9.3,6.73,,,,,
,,,MIYANDA Godfrey K,HP,356,1.48,1.07,,,,,
,,,NGONDO Winright K,APC,72,0.3,0.22,,,,,
,,,,,"24,012",100,72.38,0,0,"24,012","33,174",72.38
,,025 Roan,SATA Michael M.C,PF,"8,592",54.05,41.32,,,,,
,,,MWANAWASA Levy,MMD,"6,233",39.21,29.98,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",909,5.72,4.37,,,,,
,,,MIYANDA Godfrey K,HP,142,0.89,0.68,,,,,
,,,NGONDO Winright K,APC,19,0.12,0.09,,,,,
,,,,,"15,895",100,76.45,0,0,"15,895","20,792",76.45
,MUFULIRA,026 Kankoyo,SATA Michael M.C,PF,"7,200",59.29,45.63,,,,,
,,,MWANAWASA Levy,MMD,"4,028",33.17,25.53,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",797,6.56,5.05,,,,,
,,,MIYANDA Godfrey K,HP,83,0.68,0.53,,,,,
,,,NGONDO Winright K,APC,36,0.3,0.23,,,,,
,,,,,"12,144",100,76.96,0,0,"12,144","15,780",76.96
,,027 Kantanshi,SATA Michael M.C,PF,"13,001",70.49,53.98,,,,,
,,,MWANAWASA Levy,MMD,"4,476",24.27,18.58,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",730,3.96,3.03,,,,,
,,,MIYANDA Godfrey K,HP,212,1.15,0.88,,,,,
,,,NGONDO Winright K,APC,26,0.14,0.11,,,,,
,,,,,"18,445",100,76.59,0,0,"18,445","24,084",76.59
,,028 Mufulira,SATA Michael M.C,PF,"7,336",50.84,36.18,,,,,
,,,MWANAWASA Levy,MMD,"6,016",41.69,29.67,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",893,6.19,4.4,,,,,
,,,MIYANDA Godfrey K,HP,150,1.04,0.74,,,,,
,,,NGONDO Winright K,APC,35,0.24,0.17,,,,,
,,,,,"1 4,430",100,71.16,0,0,"14,430","20,278",71.16
,LUFWANYAMA,030 Lufwanyama,MWANAWASA Levy,MMD,"13,489",82.32,51.14,,,,,
,,,SATA Michael M.C,PF,"1,492",9.11,5.66,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,032",6.3,3.91,,,,,
,,,MIYANDA Godfrey K,HP,232,1.42,0.88,,,,,
,,,NGONDO Winright K,APC,141,0.86,0.53,,,,,
,,,,,"16,386",100,62.12,0,0,"16,386","26,378",62.12
COPPERBELT,NDOLA,033 Bwana Mkubwa,SATA Michael M.C,PF,"7,649",54.96,22.41,,,,,
,,,MWANAWASA Levy,MMD,"4,631",33.28,13.57,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,404",10.09,4.11,,,,,
,,,MIYANDA Godfrey K,HP,185,1.33,0.54,,,,,
,,,NGONDO Winright K,APC,48,0.34,0.14,,,,,
,,,,,"13,917",100,40.78,0,0,"13,917","34,126",40.78
,,034 Chifubu,SATA Michael M.C,PF,"11,761",53.34,40.23,,,,,
,,,MWANAWASA Levy,MMD,"7,974",36.16,27.27,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,027",9.19,6.93,,,,,
,,,MIYANDA Godfrey K,HP,236,1.07,0.81,,,,,
,,,NGONDO Winright K,APC,51,0.23,0.17,,,,,
,,,,,"22,049",100,75.41,0,0,"22,049","29,238",75.41
,,035 Kabushi,SATA Michael M.C,PF,"12,893",59.7,43.49,,,,,
,,,MWANAWASA Levy,MMD,"6,866",31.79,23.16,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","1,537",7.12,5.18,,,,,
,,,MIYANDA Godfrey K,HP,235,1.09,0.79,,,,,
,,,NGONDO Winright K,APC,67,0.31,0.23,,,,,
,,,,,"21,598",100,72.86,0,0,"21,598","29,644",72.86
,,036 Ndola Central,SATA Michael M.C,PF,"14,962",64.54,38.59,,,,,
,,,MWANAWASA Levy,MMD,"4,731",20.41,12.2,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,824",12.18,7.28,,,,,
,,,MIYANDA Godfrey K,HP,583,2.51,1.5,,,,,
,,,NGONDO Winright K,APC,83,0.36,0.21,,,,,
,,,,,"23,183",100,59.8,0,0,"23,183","38,767",59.8
,MASAITI,029 Kafulafuta,MWANAWASA Levy,MMD,"8,660",91.92,60.84,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",335,3.56,2.35,,,,,
,,,SATA Michael M.C,PF,314,3.33,2.21,,,,,
,,,MIYANDA Godfrey K,HP,80,0.85,0.56,,,,,
,,,NGONDO Winright K,APC,32,0.34,0.22,,,,,
,,,,,"9,421",100,66.19,0,0,"9,421","14,233",66.19
,,031 Masaiti,MWANAWASA Levy,MMD,"13,090",86.17,62.33,,,,,
,,,SATA Michael M.C,PF,"1,206",7.94,5.74,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",597,3.93,2.84,,,,,
,,,NGONDO Winright K,APC,205,1.35,0.98,,,,,
,,,MIYANDA Godfrey K,HP,93,0.61,0.44,,,,,
,,,,,"15,191",100,72.33,0,0,"15,191","21,002",72.33
COPPERBELT,MPONGWE,032 Mpongwe,MWANAWASA Levy,MMD,"13,720",73.2,46.16,,,,,
,,,SATA Michael M.C,PF,"2,306",12.3,7.76,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,074",11.06,6.98,,,,,
,,,MIYANDA Godfrey K,HP,135,0.72,0.45,,,,,
,,,NGONDO Winright K,APC,50,0.27,0.17,,,,,
,,,,,"18,285",97.55,61.52,459,2.45,"18,744","29,722",63.06
EASTERN,CHADIZA,037 Chadiza,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","6,497",47.45,35.64,,,,,
,,,MWANAWASA Levy,MMD,"5,305",38.75,29.1,,,,,
,,,SATA Michael M.C,PF,935,6.83,5.13,,,,,
,,,MIYANDA Godfrey K,HP,219,1.6,1.2,,,,,
,,,NGONDO Winright K,APC,187,1.37,1.03,,,,,
,,,,,"13,143",95.99,72.1,549,4.01,"13,692","18,230",75.11
,,038 Vubwi,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","3,978",43.82,30.08,,,,,
,,,MWANAWASA Levy,MMD,"3,512",38.68,26.56,,,,,
,,,SATA Michael M.C,PF,413,4.55,3.12,,,,,
,,,MIYANDA Godfrey K,HP,397,4.37,3,,,,,
,,,NGONDO Winright K,APC,391,4.31,2.96,,,,,
,,,,,"8,691",95.73,65.72,388,4.27,"9,079","13,225",68.65
,CHAMA,039 Chama  North,MWANAWASA Levy,MMD,"6,670",50.53,36.68,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",4768,36.12,26.22,,,,,
,,,SATA Michael M.C,PF,746,5.65,4.1,,,,,
,,,MIYANDA Godfrey K,HP,441,3.34,2.43,,,,,
,,,NGONDO Winright K,APC,230,1.74,1.26,,,,,
,,,,,"12,855",97.39,70.69,345,2.61,"13,200","18,185",72.59
,,040 Chama South,MWANAWASA Levy,MMD,"6,118",46,38.21,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","5,209",39.16,32.53,,,,,
,,,SATA Michael M.C,PF,"1,404",10.56,8.77,,,,,
,,,NGONDO Winright K,APC,176,1.32,1.1,,,,,
,,,MIYANDA Godfrey K,HP,89,0.67,0.56,,,,,
,,,,,"12,996",97.71,81.17,305,2.29,"13,301","16,011",83.07
,CHIPATA,041 Chipangali,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","8,735",41.52,26.23,,,,,
,,,MWANAWASA Levy,MMD,"7,370",35.04,22.13,,,,,
,,,SATA Michael M.C,PF,"2,414",11.48,7.25,,,,,
,,,MIYANDA Godfrey K,HP,"1,030",4.9,3.09,,,,,
,,,NGONDO Winright K,APC,785,3.73,2.36,,,,,
,,,,,"20,334",96.66,61.05,702,3.34,"21,036","33,307",63.16
EASTERN,CHIPATA,042 Chipata Central,MWANAWASA Levy,MMD,"8,491",34.07,22.32,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,883",31.63,20.73,,,,,
,,,SATA Michael M.C,PF,"7,657",30.72,20.13,,,,,
,,,MIYANDA Godfrey K,HP,476,1.91,1.25,,,,,
,,,NGONDO Winright K,APC,418,1.68,1.1,,,,,
,,,,,"24,925",100,65.53,0,0,"24,925","38,034",65.53
,,043 Kasenengwa,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","8,603",40.22,26.47,,,,,
,,,MWANAWASA Levy,MMD,"8,253",38.58,25.4,,,,,
,,,SATA Michael M.C,PF,"2,523",11.8,7.76,,,,,
,,,NGONDO Winright K,APC,"1,008",4.71,3.1,,,,,
,,,MIYANDA Godfrey K,HP,632,2.95,1.94,,,,,
,,,,,"21,019",98.27,64.68,371,1.73,"21,390","32,496",65.82
,,044 Luangeni,MWANAWASA Levy,MMD,"7,367",55.98,29.75,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","2,194",16.67,8.86,,,,,
,,,SATA Michael M.C,PF,"2,122",16.13,8.57,,,,,
,,,NGONDO Winright K,APC,581,4.42,2.35,,,,,
,,,MIYANDA Godfrey K,HP,472,3.59,1.91,,,,,
,,,,,"12,736",96.79,51.44,423,3.21,"13,159","24,761",53.14
,KATETE,045 Milanzi,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","8,115",56.14,41.2,,,,,
,,,MWANAWASA Levy,MMD,"4,474",30.95,22.71,,,,,
,,,SATA Michael M.C,PF,547,3.78,2.78,,,,,
,,,MIYANDA Godfrey K,HP,434,3,2.2,,,,,
,,,NGONDO Winright K,APC,342,2.37,1.74,,,,,
,,,,,"13,912",96.24,70.63,543,3.76,"14,455","19,698",73.38
,,046 Mkaika,MWANAWASA Levy,MMD,"8,444",46.57,31.49,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","5,881",32.44,21.93,,,,,
,,,SATA Michael M.C,PF,"2,143",11.82,7.99,,,,,
,,,NGONDO Winright K,APC,580,3.2,2.16,,,,,
,,,MIYANDA Godfrey K,HP,533,2.94,1.99,,,,,
,,,,,"17,581",96.97,65.56,549,3.03,"18,130","26,815",67.61
EASTERN,KATETE,047 Sinda,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","10,687",61.38,43.43,,,,,
,,,MWANAWASA Levy,MMD,"4,972",28.56,20.21,,,,,
,,,SATA Michael M.C,PF,620,3.56,2.52,,,,,
,,,MIYANDA Godfrey K,HP,492,2.83,2,,,,,
,,,NGONDO Winright K,APC,201,1.15,0.82,,,,,
,,,,,"16,972",97.48,68.98,438,2.52,"17,410","24,606",70.76
,LUNDAZI,048 Chasefu,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","13,261",56.15,41.55,,,,,
,,,MWANAWASA Levy,MMD,"6,280",26.59,19.68,,,,,
,,,SATA Michael M.C,PF,"2,059",8.72,6.45,,,,,
,,,MIYANDA Godfrey K,HP,678,2.87,2.12,,,,,
,,,NGONDO Winright K,APC,342,1.45,1.07,,,,,
,,,,,"22,620",95.79,70.87,995,4.21,"23,615","31,916",73.99
,,049 Lumezi,MWANAWASA Levy,MMD,"9,433",43.52,31.24,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","7,891",36.41,26.14,,,,,
,,,SATA Michael M.C,PF,"2,898",13.37,9.6,,,,,
,,,MIYANDA Godfrey K,HP,386,1.78,1.28,,,,,
,,,NGONDO Winright K,APC,227,1.05,0.75,,,,,
,,,,,"20,835",96.13,69.01,838,3.87,"21,673","30,193",71.78
,,050 Lundazi,MWANAWASA Levy,MMD,"12,488",42.99,32.43,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","11,778",40.54,30.59,,,,,
,,,SATA Michael M.C,PF,"2,404",8.28,6.24,,,,,
,,,MIYANDA Godfrey K,HP,730,2.51,1.9,,,,,
,,,NGONDO Winright K,APC,633,2.18,1.64,,,,,
,,,,,"28,033",96.5,72.81,1017,3.5,"29,050","38,503",75.45
,NYIMBA,052 Nyimba,MWANAWASA Levy,MMD,"10,426",62.04,42.09,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","3,879",23.08,15.66,,,,,
,,,SATA Michael M.C,PF,"1,304",7.76,5.26,,,,,
,,,NGONDO Winright K,APC,382,2.27,1.54,,,,,
,,,MIYANDA Godfrey K,HP,305,1.82,1.23,,,,,
,,,,,"16,296",96.98,65.78,508,3.02,"16,804","24,772",67.83
,PETAUKE,053 Kapoche,MWANAWASA Levy,MMD,"8,610",47.6,31.28,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","6,860",37.92,24.92,,,,,
,,,SATA Michael M.C,PF,"1,036",5.73,3.76,,,,,
,,,MIYANDA Godfrey K,HP,728,4.02,2.65,,,,,
,,,NGONDO Winright K,APC,202,1.12,0.73,,,,,
,,,,,"17,436",96.38,63.35,654,3.62,"18,090","27,523",65.73
EASTERN,PETAUKE,054 Msanzala,MWANAWASA Levy,MMD,"7,379",48.17,32.08,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","4,934",32.21,21.45,,,,,
,,,SATA Michael M.C,PF,"1,104",7.21,4.8,,,,,
,,,MIYANDA Godfrey K,HP,868,5.67,3.77,,,,,
,,,NGONDO Winright K,APC,602,3.93,2.62,,,,,
,,,,,"14,887",97.18,64.73,432,2.82,"15,319","23,000",66.6
,,055 Petauke,MWANAWASA Levy,MMD,"14,946",60.34,41.44,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","3,983",16.08,11.04,,,,,
,,,SATA Michael M.C,PF,"2,704",10.92,7.5,,,,,
,,,MIYANDA Godfrey K,HP,"1,915",7.73,5.31,,,,,
,,,NGONDO Winright K,APC,528,2.13,1.46,,,,,
,,,,,"24,076",97.21,66.75,692,2.79,"24,768","36,069",68.67
,MAMBWE,051 Malambo,MWANAWASA Levy,MMD,"7,601",48.12,34.72,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)","5,349",33.87,24.43,,,,,
,,,SATA Michael M.C,PF,"1,644",10.41,7.51,,,,,
,,,NGONDO Winright K,APC,351,2.22,1.6,,,,,
,,,MIYANDA Godfrey K,HP,224,1.42,1.02,,,,,
,,,,,"15,169",96.04,69.29,626,3.96,"15,795","21,892",72.15
LUAPULA,KAWAMBWA,056 Kawambwa,SATA Michael M.C,PF,"7,935",71.29,51.03,,,,,
,,,MWANAWASA Levy,MMD,"2,687",24.14,17.28,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",279,2.51,1.79,,,,,
,,,MIYANDA Godfrey K,HP,123,1.11,0.79,,,,,
,,,NGONDO Winright K,APC,97,0.87,0.62,,,,,
,,,,,"11,121",99.91,71.52,10,0.09,"11,131","15,549",71.59
,,057 Mwansabombwe,SATA Michael M.C,PF,"7,606",70.11,52.06,,,,,
,,,MWANAWASA Levy,MMD,"2,712",25,18.56,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",223,2.06,1.53,,,,,
,,,MIYANDA Godfrey K,HP,70,0.65,0.48,,,,,
,,,NGONDO Winright K,APC,37,0.34,0.25,,,,,
,,,,,"10,648",98.15,72.89,201,1.85,"10,849","14,609",74.26
,,058 Pambashe,SATA Michael M.C,PF,"4,154",54.32,41.12,,,,,
,,,MWANAWASA Levy,MMD,"3,102",40.56,30.7,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",157,2.05,1.55,,,,,
,,,MIYANDA Godfrey K,HP,48,0.63,0.48,,,,,
,,,NGONDO Winright K,APC,37,0.48,0.37,,,,,
,,,,,"7,498",98.05,74.22,149,1.95,"7,647","10,103",75.69
LUAPULA,MANSA,059 Bahati,SATA Michael M.C,PF,"9,722",65.14,42.52,,,,,
,,,MWANAWASA Levy,MMD,"4,376",29.32,19.14,,,,,
,,,HICHILEMA Hakainde,"UPND, FDD, UNIP (UDA)",519,3.48,2.27,,,,,
,,,MIYANDA Godfrey K,HP,150,1.01,0.66,,,,,
,,,NGONDO Winright K,APC,76,0.51,0.33,,,,,
,,,,,"14,843",99.45,64.92,82,0.55,"14,925","22,865",65.27
,,061 Mansa Central,SATA Michael M.C,PF,"15,135",55.55,36.06,,,,,
,,,MWANAWASA Levy,MMD,"10,327",37.9,24.61,,,,,
