"","province","district","constituency","year","party","candidate","first_name","middle_name","last_name","won","pct_margin","election"
"21","Eastern","Katete","Mkaika",2016,"PF","Ackson Banda","Ackson",NA,"Banda",0,0.155099773137645,"assembly"
"22","Copperbelt","Kitwe","Chimwemwe",2006,"HP","Ackson Mungalaba","Ackson",NA,"Mungalaba",0,0.0621927762342381,"assembly"
"23","Southern","Kalomo","Mapatizya",2006,"UPND, FDD, UNIP (UDA)","Ackson Sejani","Ackson",NA,"Sejani",1,0.320142483441866,"assembly"
"24","Copperbelt","Kitwe","Wusakile",2016,"PF","Ackson Simwizye","Ackson",NA,"Simwizye",0,0.220926699582226,"assembly"
"25","Central","Serenje","Muchinga",2006,"UPND, FDD, UNIP (UDA)","Ackson O. Kalunga","Ackson","O.","Kalunga",0,0.597888253409591,"assembly"
"26","Western","Sesheke","Sesheke",2006,"MMD","Adons S. Mufalali","Adons","S.","Mufalali",1,0.567122186495177,"assembly"
"27","Lusaka","Lusaka","Mandevu",2016,"UDF","Adrian L Piers","Adrian","L","Piers",0,0.37162928869226,"assembly"
"28","Eastern","Chipata","Luangeni",2011,"NAREP","Adrias R Jere","Adrias","R","Jere",0,0.0858157308780165,"assembly"
"29","Southern","Livingstone","Livingstone",2011,"ADD","Aggephrey  Brill","Aggephrey","","Brill",0,0.00505718509297437,"assembly"
"30","Central","Mkushi","Mkushi South",2006,"Independent","Aim N. Kasamwa","Aim","N.","Kasamwa",0,0.53061797752809,"assembly"
"31","Western","Senanga","Senanga",2011,"PF","Akabondo W Maina","Akabondo","W","Maina",0,0.125711782742006,"assembly"
"32","Western","Mwandi","Mwandi",2016,"MMD","Akalemwa Mukuka","Akalemwa",NA,"Mukuka",0,0.490255658005029,"assembly"
"33","Copperbelt","Mufulira","Kantanshi",2011,"UNIP","Alasters  Muleya","Alasters","","Muleya",0,0.543327106683271,"assembly"
"34","Eastern","Katete","Milanzi",2016,"FDD","Albert Banda","Albert",NA,"Banda",0,0.464467495651053,"assembly"
"35","Northern","Chinsali","Shiwan'gandu",2006,"NDF","Albert Kashiwa","Albert",NA,"Kashiwa",0,0.24233206590621,"assembly"
"36","Northern","Luwingu","Lupososhi",2016,"MMD","Albert Mulonga","Albert",NA,"Mulonga",0,0.595114614666528,"assembly"
"37","Northern","Luwingu","Lupososhi",2011,"IND","Albert  Mulonga","Albert","","Mulonga",0,0.21387728878895,"assembly"
"38","Luapula","Kawambwa","Kawambwa",2011,"UNIP","Albert  Nkalamo","Albert","","Nkalamo",0,0.282538575538314,"assembly"
"39","Luapula","Chienge","Chienge",2016,"IND","Albert C Kalyango","Albert","C","Kalyango",0,0.0327793637846656,"assembly"
"40","Central","Mkushi","Mkushi North",2016,"FDD","Albert C Kawaya","Albert","C","Kawaya",0,0.149509925866959,"assembly"
"41","Northern","Mbala","Kanchibiya",2006,"PF","Albert C. Kanyanyamina","Albert","C.","Kanyanyamina",1,0.335774605784321,"assembly"
"42","Western","Sesheke","Mulobezi",2011,"PF","Albetina B Pota","Albetina","B","Pota",0,0.210312786284518,"assembly"
"43","Eastern","Lundazi","Lumezi",2016,"UPND","Alex L.s. Phiri","Alex","L.s.","Phiri",0,0.162350546934622,"assembly"
"44","Copperbelt","Kitwe","Nkana",2016,"PF","Alexander Chiteme","Alexander",NA,"Chiteme",1,0.448564593301435,"assembly"
"45","Northern","Kasama","Kasama Central",2006,"UPND, FDD, UNIP (UDA)","Alexander P. Chansa","Alexander","P.","Chansa",0,0.217619532044761,"assembly"
"46","Eastern","Vubwi","Vubwi",2016,"UPND","Alfonso K Phiri","Alfonso","K","Phiri",0,0.238529014844804,"assembly"
"47","Luapula","Mwense","Mambilima",2006,"APC","Alfred Kaoma","Alfred",NA,"Kaoma",0,0.197127634931666,"assembly"
"48","Copperbelt","Kitwe","Kamfinsa",2006,"UPND, FDD, UNIP (UDA)","Alfred Khalomoh","Alfred",NA,"Khalomoh",0,0.081620542698387,"assembly"
"49","Western","Mulobezi","Mulobezi",2016,"IND","Alfred Mandumbwa","Alfred",NA,"Mandumbwa",1,0.260227966619174,"assembly"
"50","Luapula","Mwense","Chipili",2011,"NMP","Alfred  Bunda","Alfred","","Bunda",0,0.455267740531128,"assembly"
"51","Central","Mumbwa","Mumbwa",2011,"FEDEPA","Alfred  Sayila","Alfred","","Sayila",0,0.186924616410941,"assembly"
"52","Copperbelt","Kitwe","Kwacha",2011,"ADD","Alfred  Sieta","Alfred","","Sieta",0,0.400174446583253,"assembly"
"53","Northern","Kasama","Lukashya",2011,"ZED","Alfred C Mwamba","Alfred","C","Mwamba",0,0.274667023029979,"assembly"
"54","Central","Mumbwa","Mumbwa",2006,"FEDEPA","Alfred K. Sayila","Alfred","K.","Sayila",0,0.450137516552918,"assembly"
"55","Southern","Kazungula","Katombola",2016,"ADD","Alfred M Sieta","Alfred","M","Sieta",0,0.813621794871795,"assembly"
"56","Northern","Kasama","Lukashya",2011,"PF","Alfreda C Kansembe","Alfreda","C","Kansembe",1,0.274667023029979,"assembly"
"57","Northern","Kasama","Lukashya",2006,"PF","Alfreda C. Mwamba","Alfreda","C.","Mwamba",1,0.137589385715517,"assembly"
"58","Northern","Kasama","Lukashya",2016,"PF","Alfredah C Kansembe","Alfredah","C","Kansembe",0,0.151296054149681,"assembly"
"59","Eastern","Lundazi","Lumezi",2016,"MMD","Alice Mkandawire","Alice",NA,"Mkandawire",0,0.162350546934622,"assembly"
"60","Eastern","Mambwe","Malambo",2006,"PF","Alice Mwale","Alice",NA,"Mwale",0,0.03010560965574,"assembly"
"61","Southern","Monze","Moomba",2011,"IND","Alice  Mwiinga","Alice","","Mwiinga",0,0.428770500589559,"assembly"
"62","Southern","Monze","Moomba",2016,"PF","Alice B Mwiinga","Alice","B","Mwiinga",0,0.787117742650318,"assembly"
"63","Luapula","Kawambwa","Kawambwa",2016,"FDD","Alice K Manchene","Alice","K","Manchene",0,0.163047987830176,"assembly"
"64","Southern","Livingstone","Livingstone",2006,"MMD","Alice M. Simango","Alice","M.","Simango",0,0.133080058789274,"assembly"
"65","Central","Mumbwa","Mumbwa",2006,"UPND, FDD, UNIP (UDA)","Alick Mwakilima","Alick",NA,"Mwakilima",0,0.450137516552918,"assembly"
"66","Eastern","Lundazi","Lumezi",2011,"NMP","Alick  Ng'uni","Alick","","Ng'uni",0,0.203633389800806,"assembly"
"67","Copperbelt","Luanshya","Roan",2006,"Independent","Alimon Phiri","Alimon",NA,"Phiri",0,0.320313082370481,"assembly"
"68","Eastern","Chadiza","Chadiza",2016,"MMD","Allan Mbewe","Allan",NA,"Mbewe",0,0.259298312883436,"assembly"
"69","Eastern","Chadiza","Chadiza",2006,"MMD","Allan Mbewe","Allan",NA,"Mbewe",1,0.0688431511710433,"assembly"
"70","Muchinga","Chama","Chama South",2016,"FDD","Allan Ng'uni","Allan",NA,"Ng'uni",0,0.432013272740388,"assembly"
"71","Eastern","Lundazi","Lundazi",2011,"IND","Allan  Banda","Allan","","Banda",0,0.28097667638484,"assembly"
"72","Luapula","Chiengi","Chienge",2011,"IND","Allan  Chansa","Allan","","Chansa",0,0.298451496423859,"assembly"
"73","Eastern","Chadiza","Chadiza",2011,"MMD","Allan D Mbewe","Allan","D","Mbewe",1,0.378826895565093,"assembly"
"74","Central","Chibombo","Keembe",2006,"UPND, FDD, UNIP (UDA)","Allan F. Lupenga","Allan","F.","Lupenga",0,0.38784583399968,"assembly"
"75","Luapula","Milenge","Milenge",2006,"PF","Allan G. Saka","Allan","G.","Saka",0,0.32258064516129,"assembly"
"76","Luapula","Chienge","Chienge",2016,"UPND","Allan M Chansa","Allan","M","Chansa",0,0.0327793637846656,"assembly"
"77","Southern","Livingstone","Livingstone",2016,"FDD","Allestair Hamusonde","Allestair",NA,"Hamusonde",0,0.364586971259527,"assembly"
"78","Eastern","Chadiza","Chadiza",2006,"PF","Almakio K. Phiri","Almakio","K.","Phiri",0,0.0688431511710433,"assembly"
"79","Copperbelt","Chingola","Nchanga",2006,"UPND, FDD, UNIP (UDA)","Alvin V. Simwinga","Alvin","V.","Simwinga",0,0.450361807271444,"assembly"
"80","North-Western","Kabompo","Kabompo",2016,"UPND","Ambrose L Lufuma","Ambrose","L","Lufuma",1,0.600085665334095,"assembly"
"81","North-Western","Kabompo","Kabompo",2011,"UPND","Ambrose L Lufuma","Ambrose","L","Lufuma",1,0.010078613182826,"assembly"
"82","Eastern","Chipata","Chipangali",2011,"NAREP","Amos Sm Nyirenda","Amos","Sm","Nyirenda",0,0.362369531423495,"assembly"
"83","Lusaka","Kafue","Kafue",2016,"UNIP","Anastazia Mutenda","Anastazia",NA,"Mutenda",0,0.0692098244054234,"assembly"
"84","Northern","Luwingu","Lubansenshi",2006,"MMD","Andrew Mulenga","Andrew",NA,"Mulenga",0,0.111911895700057,"assembly"
"85","Central","Chibombo","Katuba",2006,"PF","Andrew Mwittah","Andrew",NA,"Mwittah",0,0.326018237082067,"assembly"
"86","Luapula","Kawambwa","Kawambwa",2016,"IND","Andrew Sindazi","Andrew",NA,"Sindazi",0,0.163047987830176,"assembly"
"87","Southern","Chikankata","Chikankata",2016,"FDD","Andrew Zimba","Andrew",NA,"Zimba",0,0.701767960075825,"assembly"
"88","Eastern","Mambwe","Malambo",2011,"UPND","Andrew  Chulu","Andrew","","Chulu",0,0.292633838722662,"assembly"
"89","Luapula","Samfya","Chifunabuli",2011,"PF","Andrew  Mwali","Andrew","","Mwali",1,0.398852971845673,"assembly"
"90","Copperbelt","Luanshya","Roan",2016,"UPND","Andrew K Kayekesi","Andrew","K","Kayekesi",0,0.321211812107921,"assembly"
"91","Lusaka","Lusaka","Munali",2011,"NMP","Andrew M Masiye","Andrew","M","Masiye",0,0.344900490992644,"assembly"
"92","Luapula","Kawambwa","Kawambwa",2016,"UPND","Angela C Kawandami","Angela","C","Kawandami",0,0.163047987830176,"assembly"
"93","Eastern","Chipata","Luangeni",2011,"MMD","Angela N Chifire","Angela","N","Chifire",0,0.0858157308780165,"assembly"
"94","Eastern","Chipata","Luangeni",2016,"MMD","Angela N Cifire","Angela","N","Cifire",0,0.436876660151356,"assembly"
"95","Eastern","Chipata","Luangeni",2006,"MMD","Angela N. Cifire","Angela","N.","Cifire",1,0.179152348224513,"assembly"
"96","Northern","Chinsali","Shiwan'gandu",2006,"MMD","Angelica M. Rumsey","Angelica","M.","Rumsey",0,0.24233206590621,"assembly"
"97","Lusaka","Lusaka","Chawama",2006,"Independent","Ann Monteiro","Ann",NA,"Monteiro",0,0.20128603424608,"assembly"
"98","Central","Chibombo","Keembe",2016,"IND","Anna M Mwewa","Anna","M","Mwewa",0,0.479521428119263,"assembly"
"99","Copperbelt","Lufwanyama","Lufwanyama",2016,"MMD","Annie Munshya","Annie",NA,"Munshya",0,0.269358867610325,"assembly"
"100","Copperbelt","Lufwanyama","Lufwanyama",2011,"MMD","Annie C Munshya","Annie","C","Munshya",1,0.239565118223979,"assembly"
"101","Eastern","Mambwe","Malambo",2006,"Independent","Annie-Yeta Chingaipe","Annie-Yeta",NA,"Chingaipe",0,0.03010560965574,"assembly"
"102","Northern","Isoka","Isoka",2006,"Independent","Anock L. Mwandia","Anock","L.","Mwandia",0,0.333034623217923,"assembly"
"103","Northern","Isoka","Mafinga",2006,"PF","Anold N. Mbambara","Anold","N.","Mbambara",0,0.737579521357165,"assembly"
"104","Copperbelt","Kalulushi","Kalulushi",2006,"PF","Anson Simama","Anson",NA,"Simama",1,0.206384776459351,"assembly"
"105","Luapula","Samfya","Bangweulu",2016,"PF","Anthony Kasandwe","Anthony",NA,"Kasandwe",1,0.38130589413349,"assembly"
"106","Luapula","Samfya","Bangweulu",2006,"UPND, FDD, UNIP (UDA)","Anthony Kasandwe","Anthony",NA,"Kasandwe",0,0.299223191424728,"assembly"
"107","Copperbelt","Kalulushi","Kalulushi",2006,"MMD","Anthony Mwila","Anthony",NA,"Mwila",0,0.206384776459351,"assembly"
"108","Luapula","Nchelenge","Nchelenge",2016,"PF","Anthony B Malama","Anthony","B","Malama",1,0.456653225806452,"assembly"
"109","Copperbelt","Mufulira","Kantanshi",2016,"IND","Anthony C Mumba","Anthony","C","Mumba",1,0.406922357343311,"assembly"
"110","Copperbelt","Ndola","Kabushi",2016,"FDD","Anthony M Chibuye","Anthony","M","Chibuye",0,0.551188523159622,"assembly"
"111","Lusaka","Lusaka","Munali",2016,"FDD","Antonio M Mwanza","Antonio","M","Mwanza",0,0.164839520854237,"assembly"
"112","Copperbelt","Ndola","Bwana Mkubwa",2011,"IND","Antony  Chibuye","Antony","","Chibuye",0,0.449076495915657,"assembly"
"113","Eastern","Lundazi","Chasefu",2006,"PF","Anystone J. Kasaro","Anystone","J.","Kasaro",0,0.369806215083799,"assembly"
"114","Western","Kaoma","Luampa",2011,"NGP","Arnot  Lifasi","Arnot","","Lifasi",0,0.0566647651644799,"assembly"
"115","Luapula","Milenge","Milenge",2011,"UPND","Arthur  Mofya","Arthur","","Mofya",0,0.148761359392506,"assembly"
"116","Eastern","Chadiza","Chadiza",2016,"FDD","Asarf Daka","Asarf",NA,"Daka",0,0.259298312883436,"assembly"
"117","Eastern","Katete","Sinda",2006,"PF","Aston M. Mwale","Aston","M.","Mwale",0,0.256959314775161,"assembly"
"118","Western","Kalabo","Kalabo Central",2011,"PF","Atanga  Muyenga","Atanga","","Muyenga",0,0.217435598893902,"assembly"
"119","Copperbelt","Lufwanyama","Lufwanyama",2016,"PF","Athanase Kaleleka","Athanase",NA,"Kaleleka",0,0.269358867610325,"assembly"
"120","Southern","Gwembe","Gwembe",2016,"UPND","Attractor M Chisangano","Attractor","M","Chisangano",1,0.860324074074074,"assembly"
"121","Central","Chibombo","Katuba",2016,"IND","Aubrey B Kapalasa","Aubrey","B","Kapalasa",0,0.28043389275481,"assembly"
"122","Northern","Kasama","Lukashya",2006,"MMD","Augustine M. Katoloshi","Augustine","M.","Katoloshi",0,0.137589385715517,"assembly"
"123","Central","Mumbwa","Mwembezhi",2011,"UPND","Austin  Milambo","Austin","","Milambo",1,0.261975447324079,"assembly"
"124","Western","Kaoma","Kaoma Central",2011,"MMD","Austin C Liato","Austin","C","Liato",0,0.153242132384516,"assembly"
"125","Lusaka","Shibuyunji","Mwembezhi",2016,"UPND","Austin C Milambo","Austin","C","Milambo",0,0.0596487736928511,"assembly"
"126","Lusaka","Lusaka","Munali",2006,"MMD","Austin C. Chewe","Austin","C.","Chewe",0,0.0182492581602374,"assembly"
"127","Western","Kaoma","Kaoma Central",2006,"MMD","Austin C. Liato","Austin","C.","Liato",1,0.106256641040065,"assembly"
"128","Eastern","Chadiza","Vubwi",2006,"HP","Avito F. Banda","Avito","F.","Banda",0,0.097778266608007,"assembly"
"129","Copperbelt","Kitwe","Kamfinsa",2011,"IND","Azik I Nyirenda","Azik","I","Nyirenda",0,0.487822025812284,"assembly"
"130","Copperbelt","Mufulira","Kantanshi",2006,"UPND, FDD, UNIP (UDA)","Baidon Simika","Baidon",NA,"Simika",0,0.42672131147541,"assembly"
"131","Copperbelt","Ndola","Bwana Mkubwa",2006,"MMD","Barbara Bwalya-Chibulu","Barbara",NA,"Bwalya-Chibulu",0,0.105218135158255,"assembly"
"132","Copperbelt","Kitwe","Wusakile",2006,"PF","Barnabas Chella","Barnabas",NA,"Chella",1,0.399299568965517,"assembly"
"133","Copperbelt","Luanshya","Luanshya",2006,"NDF","Barnabas C. Bwalya","Barnabas","C.","Bwalya",0,0.000827985924239272,"assembly"
"134","Southern","Kazungula","Katombola",2011,"MMD","Bartholomew  Tilasi","Bartholomew","","Tilasi",0,0.199774901519415,"assembly"
"135","Copperbelt","Luanshya","Roan",2016,"FDD","Basilio K Mulenga","Basilio","K","Mulenga",0,0.321211812107921,"assembly"
"136","Western","Kalabo","Liuwa",2006,"ULP","Bataba M. Wamulume","Bataba","M.","Wamulume",0,0.285694878413259,"assembly"
"137","Western","Lukulu","Lukulu East",2006,"ULP","Batuke Imenda","Batuke",NA,"Imenda",1,0.201341344138606,"assembly"
"138","Western","Lukulu","Lukulu East",2011,"UPND","Batuke  Imenda","Batuke","","Imenda",0,0.324873909214635,"assembly"
"139","Lusaka","Lusaka","Chawama",2006,"RP","Beatrice Chilufya","Beatrice",NA,"Chilufya",0,0.20128603424608,"assembly"
"140","Lusaka","Kafue","Kafue",2006,"UPND, FDD, UNIP (UDA)","Beatrice Moonga","Beatrice",NA,"Moonga",0,0.0864952275775026,"assembly"
"141","Lusaka","Kafue","Kafue",2011,"UNIP","Beatrice K Moonga","Beatrice","K","Moonga",0,0.0874836708033965,"assembly"
"142","Western","Senanga","Senanga",2016,"FDD","Beatrice M Mwiya","Beatrice","M","Mwiya",0,0.602683074440186,"assembly"
"143","Lusaka","Lusaka","Lusaka Central",2006,"NDF","Beauty S. Lombe","Beauty","S.","Lombe",0,0.361178037926245,"assembly"
"144","Central","Kabwe","Bwacha",2011,"IND","Beck  Banda","Beck","","Banda",0,0.137251820420137,"assembly"
"145","Muchinga","Chinsali","Chinsali",2016,"UPND","Beddah Kabombo","Beddah",NA,"Kabombo",0,0.752991153201606,"assembly"
"146","Western","Nalolo","Nalolo",2016,"UPND","Belinda M L Mutanga","Belinda","M","Mutanga",0,0.0119883428268645,"assembly"
"147","Eastern","Chadiza","Chadiza",2011,"UNIP","Ben P Banda","Ben","P","Banda",0,0.378826895565093,"assembly"
"148","Copperbelt","Kalulushi","Kalulushi",2016,"IND","Benard Besa","Benard",NA,"Besa",0,0.142893272635306,"assembly"
"149","North-Western","Mwinilunga","Mwinilunga",2006,"APC","Benard Mushidika","Benard",NA,"Mushidika",0,0.0157316577008272,"assembly"
"150","Lusaka","Lusaka","Mandevu",2006,"HP","Benedict M. Mwale","Benedict","M.","Mwale",0,0.21669893429613,"assembly"
"151","Luapula","Nchelenge","Nchelenge",2006,"NDF","Benjamin Mwila","Benjamin",NA,"Mwila",1,0.0094284522319566,"assembly"
"152","Luapula","Nchelenge","Nchelenge",2011,"MMD","Benjamin Y Mwila","Benjamin","Y","Mwila",0,0.346783035831762,"assembly"
"153","Southern","Mazabuka","Magoye",2006,"UPND, FDD, UNIP (UDA)","Bennie Mweemba","Bennie",NA,"Mweemba",1,0.223266095606521,"assembly"
"154","North-Western","Solwezi","Solwezi Central",2006,"MMD","Benny Tetamashimba","Benny",NA,"Tetamashimba",1,0.198766154816049,"assembly"
"155","Luapula","Milenge","Milenge",2011,"PF","Benny  Mibenge","Benny","","Mibenge",0,0.148761359392506,"assembly"
"156","Central","Mumbwa","Mumbwa",2016,"PF","Benson Kapenda","Benson",NA,"Kapenda",0,0.499122733728799,"assembly"
"157","Copperbelt","Masaiti","Kafulafuta",2016,"FDD","Benson Matowe","Benson",NA,"Matowe",0,0.0600657435999602,"assembly"
"158","Central","Serenje","Serenje",2006,"UPND, FDD, UNIP (UDA)","Benson Ndhlovu","Benson",NA,"Ndhlovu",0,0.387281071462021,"assembly"
"159","Eastern","Nyimba","Nyimba",2011,"ADD","Benson  Chaponda","Benson","","Chaponda",0,0.326929745474721,"assembly"
"160","Copperbelt","Chingola","Chingola",2011,"ADD","Benson  Kafula","Benson","","Kafula",0,0.31692363724657,"assembly"
"161","Lusaka","Lusaka","Munali",2011,"ADD","Benson  Phiri","Benson","","Phiri",0,0.344900490992644,"assembly"
"162","Luapula","Chiengi","Chienge",2011,"PF","Benson M Kapaya","Benson","M","Kapaya",1,0.298451496423859,"assembly"
"163","Copperbelt","Ndola","Chifubu",2006,"PF","Benson M. Bwalya","Benson","M.","Bwalya",1,0.129865389002966,"assembly"
"164","Southern","Mazabuka","Mazabuka Central",2011,"UNIP","Benson S Chanda","Benson","S","Chanda",0,0.43039625781496,"assembly"
"165","Lusaka","Lusaka","Lusaka Central",2006,"Independent","Bentry Banda","Bentry",NA,"Banda",0,0.361178037926245,"assembly"
"166","Copperbelt","Ndola","Chifubu",2011,"PF","Berina K Kawandami","Berina","K","Kawandami",1,0.18596387326029,"assembly"
"167","Southern","Choma","Choma Central",2016,"RAINBOW","Bernadette Hamweemba","Bernadette",NA,"Hamweemba",0,0.765321917939114,"assembly"
"168","Western","Sesheke","Mwandi",2011,"UPND","Bernadette M Lubasi","Bernadette","M","Lubasi",0,0.293364377182771,"assembly"
"169","Copperbelt","Kitwe","Kamfinsa",2011,"UNIP","Bernard  Kabanda","Bernard","","Kabanda",0,0.487822025812284,"assembly"
"170","Northern","Kasama","Lukashya",2011,"MMD","Bernard  Mpundu","Bernard","","Mpundu",0,0.274667023029979,"assembly"
"171","Eastern","Chipata","Kasenengwa",2011,"UPND","Bernard  Phiri","Bernard","","Phiri",0,0.807238358690641,"assembly"
"172","Luapula","Kawambwa","Pambashe",2011,"MMD","Bernard B Chishya","Bernard","B","Chishya",0,0.0442908926144087,"assembly"
"173","Luapula","Kawambwa","Pambashe",2006,"PF","Bernard E. Chishya","Bernard","E.","Chishya",1,0.054120541205412,"assembly"
"174","Central","Mkushi","Mkushi North",2016,"UNIP","Bernard K Nshimbi","Bernard","K","Nshimbi",0,0.149509925866959,"assembly"
"175","North-Western","Mufumbwe","Mufumbwe",2011,"PF","Bert M Mushala","Bert","M","Mushala",0,0.00359405458089668,"assembly"
"176","North-Western","Mufumbwe","Mufumbwe",2006,"UPND, FDD, UNIP (UDA)","Bert M. Mushala","Bert","M.","Mushala",0,0.00445403298768182,"assembly"
"177","Copperbelt","Chingola","Chingola",2006,"HP","Bertha Kazimbaya","Bertha",NA,"Kazimbaya",0,0.170899470899471,"assembly"
"178","Western","Mongu","Nalikwanda",2006,"Independent","Bertha M. Mwayanguba","Bertha","M.","Mwayanguba",0,0.432458792548522,"assembly"
"179","Luapula","Mansa","Bahati",2011,"MMD","Besa E Chimbaka","Besa","E","Chimbaka",0,0.602562139539631,"assembly"
"180","Eastern","Chipata","Luangeni",2006,"UPND, FDD, UNIP (UDA)","Besnat H. Jere","Besnat","H.","Jere",0,0.179152348224513,"assembly"
"181","Eastern","Petauke","Msanzala",2011,"ADD","Betram  Nyendwa","Betram","","Nyendwa",0,0.126183374400208,"assembly"
"182","North-Western","Chavuma","Chavuma",2011,"PF","Bickson H Mbaulu","Bickson","H","Mbaulu",0,0.343395837626211,"assembly"
"183","North-Western","Chavuma","Chavuma",2006,"PF","Bickson H. Mbaulu","Bickson","H.","Mbaulu",0,0.435042659864544,"assembly"
"184","Western","Kaoma","Luampa",2011,"IND","Bindundu  Mutti","Bindundu","","Mutti",0,0.0566647651644799,"assembly"
"185","Central","Kapiri-Mposhi","Kapiri Mposhi",2011,"UNIP","Bishop  Maluti","Bishop","","Maluti",0,0.209800190294957,"assembly"
"186","Northern","Kaputa","Chimbamilonga",2006,"Independent","Bishop C. Sakalani","Bishop","C.","Sakalani",0,0.058596389612897,"assembly"
"187","Central","Kapiri-Mposhi","Kapiri Mposhi",2006,"UPND, FDD, UNIP (UDA)","Bishop K. Maluti","Bishop","K.","Maluti",0,0.415561510799606,"assembly"
"188","Eastern","Lundazi","Lundazi",2016,"IND","Bizwayo N Nkunika","Bizwayo","N","Nkunika",0,0.230717185385656,"assembly"
"189","Northern","Mbala","Mpika",2011,"IND","Blackson  Mwaba","Blackson","","Mwaba",0,0.276655586806443,"assembly"
"190","Luapula","Samfya","Bangweulu",2011,"IND","Blanco  Muma","Blanco","","Muma",0,0.617394074546034,"assembly"
"191","Eastern","Lundazi","Lundazi",2011,"IND","Blessings  Banda","Blessings","","Banda",0,0.28097667638484,"assembly"
"192","Copperbelt","Lufwanyama","Lufwanyama",2006,"UPND, FDD, UNIP (UDA)","Boazi S. Mwashi","Boazi","S.","Mwashi",0,0.549145434906919,"assembly"
"193","Central","Kabwe","Bwacha",2016,"MMD","Boniface Chimoto","Boniface",NA,"Chimoto",0,0.272924942504704,"assembly"
"194","Copperbelt","Kitwe","Kwacha",2011,"PF","Boniface  Mutale","Boniface","","Mutale",1,0.400174446583253,"assembly"
"195","Luapula","Kawambwa","Pambashe",2011,"IND","Boniface B Manda","Boniface","B","Manda",0,0.0442908926144087,"assembly"
"196","Luapula","Mwense","Mwense",2006,"MMD","Booker C. Kapapula","Booker","C.","Kapapula",0,0.169926047658176,"assembly"
"197","Eastern","Chama","Chama South",2006,"MMD","Bornface Nkhata","Bornface",NA,"Nkhata",1,0.0526315789473684,"assembly"
"198","Northern","Mporokoso","Lunte",2006,"PF","Bornface Nonde","Bornface",NA,"Nonde",0,0.215580286168521,"assembly"
"199","Eastern","Lundazi","Chasefu",2011,"PF","Bornface  Bota","Bornface","","Bota",0,0.438840579710145,"assembly"
"200","Lusaka","Lusaka","Chawama",2011,"unknown","Borniface K Musondamwaume","Borniface","K","Musondamwaume",0,0.274536118566927,"assembly"
"201","Central","Mumbwa","Mwembezhi",2011,"MMD","Bornwell  Matawe","Bornwell","","Matawe",0,0.261975447324079,"assembly"
"202","Southern","Gwembe","Gwembe",2011,"IND","Bornwell  Siakanomba","Bornwell","","Siakanomba",0,0.426228378471504,"assembly"
