"","shp2015","constituency","website2015","shp2016","province","district","website2016","merge_flag"
"24","Zambezi West","Zambezi West","Zambezi West",NA,"North-Western","Zambezi","Zambezi West",1
"25","Chembe","Chembe","Chembe","Chembe","Luapula","Chembe","Chembe",0
"26","Zambezi East","Zambezi East","Zambezi East","Zambezi East","North-Western","Zambezi","Zambezi East",0
"27","Kabompo West","Kabompo West","Kabompo West",NA,NA,NA,NA,1
"28","Kabompo East","Kabompo East","Kabompo East",NA,NA,NA,NA,1
"29","Mufumbwe","Mufumbwe","Mufumbwe","Mufumbwe","North-Western","Mufumbwe","Mufumbwe",0
"30","Kasempa","Kasempa","Kasempa","Kasempa","North-Western","Kasempa","Kasempa",0
"31","Mwinilunga West","Mwinilunga West",NA,NA,NA,NA,NA,1
"32","Mwinilunga East","Mwinilunga East",NA,NA,NA,NA,NA,1
"33","Solwezi Central","Solwezi Central","Solwezi Central","Solwezi Central","North-Western","Solwezi","Solwezi Central",0
"34","Solwezi East","Solwezi East","Solwezi East","Solwezi East","North-Western","Solwezi","Solwezi East",0
"35","Mpongwe","Mpongwe","Mpongwe",NA,"Copperbelt","Mpongwe","Mpongwe",1
"36","Mansa Central","Mansa Central","Mansa Central","Mansa Central","Luapula","Mansa","Mansa Central",0
"37","Masaiti","Masaiti","Masaiti","Masaiti","Copperbelt","Masaiti","Masaiti",0
"38","Kafulafuta","Kafulafuta","Kafulafuta","Kafulafuta","Copperbelt","Masaiti","Kafulafuta",0
"39","Chililabombwe","Chililabombwe","Chililabombwe","Chililabombwe","Copperbelt","Chililabombwe","Chililabombwe",0
"40","Chingola","Chingola","Chingola","Chingola","Copperbelt","Chingola","Chingola",0
"41","Nchanga","Nchanga","Nchanga","Nchanga","Copperbelt","Chingola","Nchanga",0
"42","Kalulushi","Kalulushi","Kalulushi","Kalulushi","Copperbelt","Kalulushi","Kalulushi",0
"43","Kankoyo","Kankoyo","Kankoyo","Kankoyo","Copperbelt","Mufulira","Kankoyo",0
"44","Kantanshi","Kantanshi","Kantanshi","Kantanshi","Copperbelt","Mufulira","Kantanshi",0
"45","Chimwemwe","Chimwemwe","Chimwemwe","Chimwemwe","Copperbelt","Kitwe","Chimwemwe",0
"46","Wusakile","Wusakile","Wusakile","Wusakile","Copperbelt","Kitwe","Wusakile",0
"47","Bahati","Bahati","Bahati","Bahati","Luapula","Mansa","Bahati",0
"48","Mufulira","Mufulira","Mufulira","Mufulira","Copperbelt","Mufulira","Mufulira",0
"49","Kamfinsa","Kamfinsa","Kamfinsa","Kamfinsa","Copperbelt","Kitwe","Kamfinsa",0
"50","Kwacha","Kwacha","Kwacha","Kwacha","Copperbelt","Kitwe","Kwacha",0
"51","Nkana","Nkana","Nkana","Nkana","Copperbelt","Kitwe","Nkana",0
"52","Roan","Roan","Roan","Roan","Copperbelt","Luanshya","Roan",0
"53","Luanshya","Luanshya","Luanshya","Luanshya","Copperbelt","Luanshya","Luanshya",0
"54","Bwanamkubwa","Bwanamkubwa",NA,NA,NA,NA,NA,1
"55","Ndola Central","Ndola Central","Ndola Central","Ndola Central","Copperbelt","Ndola","Ndola Central",0
"56","Kabushi","Kabushi","Kabushi","Kabushi","Copperbelt","Ndola","Kabushi",0
"57","Chifubu","Chifubu","Chifubu","Chifubu","Copperbelt","Ndola","Chifubu",0
"58","Mambilima","Mambilima","Mambilima","Mambilima","Luapula","Mwense","Mambilima",0
"59","Mwense","Mwense","Mwense","Mwense","Luapula","Mwense","Mwense",0
"60","Chipili","Chipili","Chipili","Chipili","Luapula","Chipili","Chipili",0
"61","Pambashe","Pambashe","Pambashe","Pambashe","Luapula","Kawambwa","Pambashe",0
"62","Mwansabombwe","Mwansabombwe","Mwansabombwe","Mwansabombwe","Luapula","Mwansabombwe","Mwansabombwe",0
"63","Nyimba","Nyimba","Nyimba","Nyimba","Eastern","Nyimba","Nyimba",0
"64","Chiengi","Chiengi",NA,NA,NA,NA,NA,1
"65","Nchelenge","Nchelenge","Nchelenge","Nchelenge","Luapula","Nchelenge","Nchelenge",0
"66","Isoka East","Isoka East",NA,NA,NA,NA,NA,1
"67","Isoka West","Isoka West",NA,NA,NA,NA,NA,1
"68","Nakonde","Nakonde","Nakonde","Nakonde","Muchinga","Nakonde","Nakonde",0
"69","Mbala","Mbala","Mbala","Mbala","Northern","Mbala","Mbala",0
"70","Mpulungu","Mpulungu","Mpulungu","Mpulungu","Northern","Mpulungu","Mpulungu",0
"71","Kaputa","Kaputa","Kaputa","Kaputa","Northern","Kaputa","Kaputa",0
"72","Chimbamilonga","Chimbamilonga","Chimbamilonga","Chimbamilonga","Northern","Nsama","Chimbamilonga",0
"73","Mporokoso","Mporokoso","Mporokoso","Mporokoso","Northern","Mporokoso","Mporokoso",0
"74","Solwezi West","Solwezi West","Solwezi West","Solwezi West","North-Western","Solwezi","Solwezi West",0
"75","Senga Hill","Senga Hill","Senga Hill","Senga Hill","Northern","Mbala","Senga Hill",0
"76","Lunte","Lunte","Lunte","Lunte","Northern","Mporokoso","Lunte",0
"77","Lupososhi","Lupososhi","Lupososhi","Lupososhi","Northern","Luwingu","Lupososhi",0
"78","Malole","Malole","Malole","Malole","Northern","Mungwi","Malole",0
"79","Chinsali","Chinsali","Chinsali","Chinsali","Muchinga","Chinsali","Chinsali",0
"80","Kasama Central","Kasama Central","Kasama Central","Kasama Central","Northern","Kasama","Kasama Central",0
"81","Chilubi","Chilubi","Chilubi","Chilubi","Northern","Chilubi","Chilubi",0
"82","Lubansenshi","Lubansenshi","Lubansenshi","Lubansenshi","Northern","Luwingu","Lubansenshi",0
"83","Lukashya","Lukashya","Lukashya","Lukashya","Northern","Kasama","Lukashya",0
"84","Shiwang’Andu","Shiwang’Andu",NA,NA,NA,NA,NA,1
"85","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi","Kapiri Mposhi","Central","Kapiri Mposhi","Kapiri Mposhi",0
"86","Kanchibiya","Kanchibiya","Kanchibiya","Kanchibiya","Muchinga","Mpika","Kanchibiya",0
"87","Mpika Central","Mpika Central",NA,NA,NA,NA,NA,1
"88","Chama North","Chama North","Chama North","Chama North","Muchinga","Chama","Chama North",0
"89","Chama South","Chama South","Chama South","Chama South","Muchinga","Chama","Chama South",0
"90","Chasefu","Chasefu","Chasefu","Chasefu","Eastern","Lundazi","Chasefu",0
"91","Lundazi","Lundazi","Lundazi","Lundazi","Eastern","Lundazi","Lundazi",0
"92","Lumezi","Lumezi","Lumezi","Lumezi","Eastern","Lundazi","Lumezi",0
"93","Chipangali","Chipangali","Chipangali","Chipangali","Eastern","Chipata","Chipangali",0
"94","Malambo","Malambo","Malambo","Malambo","Eastern","Mambwe","Malambo",0
"95","Chipata Central","Chipata Central","Chipata Central","Chipata Central","Eastern","Chipata","Chipata Central",0
"96","Lufwanyama","Lufwanyama","Lufwanyama","Lufwanyama","Copperbelt","Lufwanyama","Lufwanyama",0
"97","Luangeni","Luangeni","Luangeni","Luangeni","Eastern","Chipata","Luangeni",0
"98","Vubwi","Vubwi","Vubwi","Vubwi","Eastern","Vubwi","Vubwi",0
"99","Chadiza","Chadiza","Chadiza","Chadiza","Eastern","Chadiza","Chadiza",0
"100","Milanzi","Milanzi","Milanzi","Milanzi","Eastern","Katete","Milanzi",0
"101","Kasenengwa","Kasenengwa","Kasenengwa","Kasenengwa","Eastern","Chipata","Kasenengwa",0
"102","Mkaika","Mkaika","Mkaika","Mkaika","Eastern","Katete","Mkaika",0
"103","Msanzala","Msanzala","Msanzala","Msanzala","Eastern","Petauke","Msanzala",0
"104","Sinda","Sinda","Sinda","Sinda","Eastern","Sinda","Sinda",0
"105","Kapoche","Kapoche","Kapoche","Kapoche","Eastern","Sinda","Kapoche",0
"106","Petauke","Petauke","Petauke","Petauke","Eastern","Petauke","Petauke",0
"107","Sikongo","Sikongo","Sikongo","Sikongo","Western","Sikongo","Sikongo",0
"108","Chitambo","Chitambo","Chitambo","Chitambo","Central","Chitambo","Chitambo",0
"109","Muchinga","Muchinga","Muchinga","Muchinga","Central","Serenje","Muchinga",0
"110","Serenje Central","Serenje Central",NA,NA,NA,NA,NA,1
"111","Mkushi North","Mkushi North","Mkushi North","Mkushi North","Central","Mkushi","Mkushi North",0
"112","Mkushi South","Mkushi South","Mkushi South","Mkushi South","Central","Luano","Mkushi South",0
"113","Chisamba","Chisamba","Chisamba","Chisamba","Central","Chisamba","Chisamba",0
"114","Kabwe Central","Kabwe Central","Kabwe Central","Kabwe Central","Central","Kabwe","Kabwe Central",0
"115","Bwacha","Bwacha","Bwacha","Bwacha","Central","Kabwe","Bwacha",0
"116","Mumbwa","Mumbwa","Mumbwa","Mumbwa","Central","Mumbwa","Mumbwa",0
"117","Mwembezhi","Mwembezhi","Mwembezhi","Mwembezhi","Lusaka","Shibuyunji","Mwembezhi",0
"118","Kafue","Kafue","Kafue","Kafue","Lusaka","Kafue","Kafue",0
"119","Nangoma","Nangoma","Nangoma","Nangoma","Central","Mumbwa","Nangoma",0
"120","Katuba","Katuba","Katuba","Katuba","Central","Chibombo","Katuba",0
"121","Keembe","Keembe","Keembe","Keembe","Central","Chibombo","Keembe",0
"122","Feira","Feira","Feira","Feira","Lusaka","Luangwa","Feira",0
"123","Rufunsa","Rufunsa","Rufunsa","Rufunsa","Lusaka","Rufunsa","Rufunsa",0
"124","Chongwe","Chongwe","Chongwe","Chongwe","Lusaka","Chongwe","Chongwe",0
"125","Chilanga","Chilanga","Chilanga","Chilanga","Lusaka","Chilanga","Chilanga",0
"126","Mandevu","Mandevu","Mandevu","Mandevu","Lusaka","Lusaka","Mandevu",0
"127","Matero","Matero","Matero","Matero","Lusaka","Lusaka","Matero",0
"128","Kanyama","Kanyama","Kanyama","Kanyama","Lusaka","Lusaka","Kanyama",0
"129","Itezhi-Tezhi","Itezhi-Tezhi",NA,NA,NA,NA,NA,1
"130","Chawama","Chawama","Chawama","Chawama","Lusaka","Lusaka","Chawama",0
"131","Munali","Munali","Munali","Munali","Lusaka","Lusaka","Munali",0
"132","Kabwata","Kabwata","Kabwata","Kabwata","Lusaka","Lusaka","Kabwata",0
"133","Lusaka Central","Lusaka Central","Lusaka Central","Lusaka Central","Lusaka","Lusaka","Lusaka Central",0
"134","Siavonga","Siavonga","Siavonga","Siavonga","Southern","Siavonga","Siavonga",0
"135","Gwembe","Gwembe","Gwembe","Gwembe","Southern","Gwembe","Gwembe",0
"136","Chikankata","Chikankata","Chikankata","Chikankata","Southern","Chikankata","Chikankata",0
"137","Mazabuka Central","Mazabuka Central","Mazabuka Central","Mazabuka Central","Southern","Mazabuka","Mazabuka Central",0
"138","Magoye","Magoye","Magoye","Magoye","Southern","Mazabuka","Magoye",0
"139","Moomba","Moomba","Moomba","Moomba","Southern","Monze","Moomba",0
"140","Luapula","Luapula","Luapula","Luapula","Luapula","Lunga","Luapula",0
"141","Monze Central","Monze Central","Monze Central","Monze Central","Southern","Monze","Monze Central",0
"142","Pemba","Pemba","Pemba","Pemba","Southern","Pemba","Pemba",0
"143","Sinazongwe","Sinazongwe","Sinazongwe","Sinazongwe","Southern","Sinazongwe","Sinazongwe",0
"144","Choma Central","Choma Central","Choma Central","Choma Central","Southern","Choma","Choma Central",0
"145","Mapatizya","Mapatizya","Mapatizya","Mapatizya","Southern","Zimba","Mapatizya",0
"146","Kalomo Central","Kalomo Central","Kalomo Central","Kalomo Central","Southern","Kalomo","Kalomo Central",0
"147","Livingstone","Livingstone","Livingstone","Livingstone","Southern","Livingstone","Livingstone",0
"148","Katombola","Katombola","Katombola","Katombola","Southern","Kazungula","Katombola",0
"149","Dundumwezi","Dundumwezi","Dundumwezi","Dundumwezi","Southern","Kalomo","Dundumwezi",0
"150","Mbabala","Mbabala","Mbabala","Mbabala","Southern","Choma","Mbabala",0
"151",NA,"Bwana Mkubwa","Bwana Mkubwa","Bwana Mkubwa","Copperbelt","Ndola","Bwana Mkubwa",1
"152",NA,"Chienge","Chienge","Chienge","Luapula","Chienge","Chienge",1
"153",NA,"Ikeleng'i","Ikeleng'i",NA,"North-Western","Ikelenge","Ikeleng'i",1
"154",NA,"Isoka","Isoka","Isoka","Muchinga","Isoka","Isoka",1
"155",NA,"Itezhitezhi","Itezhitezhi","Itezhitezhi","Central","Itezhitezhi","Itezhitezhi",1
"156",NA,"Mafinga","Mafinga","Mafinga","Muchinga","Mafinga","Mafinga",1
"157",NA,"Mpika","Mpika","Mpika","Muchinga","Mpika","Mpika",1
"158",NA,"Mwinilunga","Mwinilunga","Mwinilunga","North-Western","Mwinilunga","Mwinilunga",1
"159",NA,"Senanga","Senanga","Senanga","Western","Senanga","Senanga",1
"160",NA,"Serenje","Serenje","Serenje","Central","Serenje","Serenje",1
"161",NA,"Sesheke","Sesheke","Sesheke","Western","Sesheke","Sesheke",1
"162",NA,"Shiwan'gandu","Shiwan'gandu",NA,"Muchinga","Shiwan'gandu","Shiwan'gandu",1
"163",NA,"Milenge",NA,"Milenge","Luapula","Milenge","Milenge",1
"164",NA,"Ikelenge",NA,"Ikelenge",NA,NA,NA,1
"165",NA,"Shiwanga'ndu",NA,"Shiwanga'ndu",NA,NA,NA,1
"166",NA,"Sioma",NA,"Sioma","Western","Sioma","Sioma",1
"167",NA,"Chirundu",NA,"Chirundu","Lusaka","Chirundu","Chirundu",1
"168",NA,"Shang'ombo",NA,"Shang'ombo",NA,NA,NA,1
"169",NA,"Nkeyema",NA,"Nkeyema","Western","Nkeyema","Nkeyema",1
"170",NA,"Kaumbwe",NA,"Kaumbwe","Eastern","Petauke","Kaumbwe",1
"171",NA,"Lufubu",NA,"Lufubu","Central","Ngabwe","Lufubu",1
"172",NA,"Zambezi Westt",NA,"Zambezi Westt",NA,NA,NA,1
"173",NA,"Mpomgwe",NA,"Mpomgwe",NA,NA,NA,1
"174",NA,"Kabompo",NA,"Kabompo","North-Western","Kabompo","Kabompo",1
"175",NA,"Manyinga",NA,"Manyinga","North-Western","Manyinga","Manyinga",1
"176",NA,"Mitete",NA,NA,"Western","Mitete","Mitete",1
"177",NA,"Shangombo",NA,NA,"Western","Shangombo","Shangombo",1
