"","constituency","Released on Website","Total Registered Voters","Total Votes Cast","Total Votes Rejected","Turnout","registered","cast","rejected","valid_votes","turnout","valid_turnout","pct_rejected","province","district"
"39","Kabushi","Fri, 26 Aug 2016 15:26:58 +0200","52,327","29,145","496","55.7%",52327,29145,496,28649,0.556978233034571,0.547499378905727,0.0170183564933951,"Copperbelt","Ndola"
"40","Kabwata","Fri, 26 Aug 2016 14:55:31 +0200","100,404","55,675","528","55.45%",100404,55675,528,55147,0.554509780486833,0.549251025855544,0.00948361023798833,"Lusaka","Lusaka"
"41","Kabwe Central","Fri, 26 Aug 2016 15:44:08 +0200","65,747","35,190","555","53.52%",65747,35190,555,34635,0.5352335467778,0.526792096977809,0.015771526001705,"Central","Kabwe"
"42","Kafue","Fri, 26 Aug 2016 15:06:39 +0200","62,685","36,985","993","59%",62685,36985,993,35992,0.590013559862806,0.574172449549334,0.0268487224550493,"Lusaka","Kafue"
"43","Kafulafuta","Fri, 26 Aug 2016 15:31:50 +0200","22,360","10,608","569","47.44%",22360,10608,569,10039,0.474418604651163,0.44897137745975,0.0536387631975867,"Copperbelt","Masaiti"
"44","Kalabo Central","Fri, 26 Aug 2016 16:33:42 +0200","31,235","17,319","367","55.45%",31235,17319,367,16952,0.554474147590844,0.542724507763727,0.0211905999191639,"Western","Kalabo"
"45","Kalomo Central","Fri, 26 Aug 2016 16:20:17 +0200","53,236","39,793","1,044","74.75%",53236,39793,1044,38749,0.747482906304005,0.727872116612818,0.0262357701103209,"Southern","Kalomo"
"46","Kalulushi","Fri, 26 Aug 2016 15:36:23 +0200","57,550","32,607","975","56.66%",57550,32607,975,31632,0.566585577758471,0.549643788010426,0.0299015548808538,"Copperbelt","Kalulushi"
"47","Kamfinsa","Fri, 26 Aug 2016 15:35:12 +0200","43,108","22,728","484","52.72%",43108,22728,484,22244,0.527233924097615,0.516006309733692,0.0212953185498064,"Copperbelt","Kitwe"
"48","Kanchibiya","Fri, 26 Aug 2016 14:59:46 +0200","36,949","18,508","527","50.09%",36949,18508,527,17981,0.500906655119218,0.486643752198977,0.0284741733304517,"Muchinga","Mpika"
"49","Kankoyo","Fri, 26 Aug 2016 15:31:13 +0200","24,636","13,480","207","54.72%",24636,13480,207,13273,0.547166747848677,0.538764409806787,0.0153560830860534,"Copperbelt","Mufulira"
"50","Kantanshi","Fri, 26 Aug 2016 15:30:36 +0200","35,288","19,625","383","55.61%",35288,19625,383,19242,0.556138063931081,0.54528451598277,0.019515923566879,"Copperbelt","Mufulira"
"51","Kanyama","Fri, 26 Aug 2016 19:22:40 +0200","136,198","72,010","1,420","52.87%",136198,72010,1420,70590,0.528715546483796,0.518289549038899,0.0197194834050826,"Lusaka","Lusaka"
"52","Kaoma Central","Fri, 26 Aug 2016 16:37:45 +0200","25,616","13,872","390","54.15%",25616,13872,390,13482,0.541536539662711,0.526311680199875,0.0281141868512111,"Western","Kaoma"
"53","Kapiri Mposhi","Fri, 26 Aug 2016 15:43:24 +0200","103,986","47,085","1,502","45.28%",103986,47085,1502,45583,0.45280133864174,0.438357086530879,0.031899755760858,"Central","Kapiri Mposhi"
"54","Kapoche","Fri, 26 Aug 2016 14:35:30 +0200","40,650","19,814","894","48.74%",40650,19814,894,18920,0.487429274292743,0.465436654366544,0.0451196123952761,"Eastern","Sinda"
"55","Kaputa","Fri, 26 Aug 2016 16:10:19 +0200","31,880","20,193","253","63.34%",31880,20193,253,19940,0.63340652446675,0.625470514429109,0.0125290942405784,"Northern","Kaputa"
"56","Kasama Central","Fri, 26 Aug 2016 16:10:18 +0200","65,636","35,875","529","54.66%",65636,35875,529,35346,0.546575050277287,0.538515448839052,0.0147456445993031,"Northern","Kasama"
"57","Kasempa","Fri, 26 Aug 2016 16:01:35 +0200","36,560","21,444","683","58.65%",36560,21444,683,20761,0.586542669584245,0.567861050328228,0.0318504010445812,"North-Western","Kasempa"
"58","Kasenengwa","Fri, 26 Aug 2016 15:20:57 +0200","49,837","24,654","802","49.47%",49837,24654,802,23852,0.494692698196119,0.478600236771876,0.0325302182201671,"Eastern","Chipata"
"59","Katombola","Fri, 26 Aug 2016 16:20:15 +0200","56,429","38,559","1,119","68.33%",56429,38559,1119,37440,0.683318860869411,0.663488631731911,0.0290204621489147,"Southern","Kazungula"
"60","Katuba","Fri, 26 Aug 2016 15:47:33 +0200","43,806","25,213","783","57.56%",43806,25213,783,24430,0.575560425512487,0.557686161713007,0.0310554079244834,"Central","Chibombo"
"61","Kaumbwe","Fri, 26 Aug 2016 14:39:13 +0200","24,243","10,876","388","44.86%",24243,10876,388,10488,0.448624345171802,0.432619725281525,0.0356748804707613,"Eastern","Petauke"
"62","Kawambwa","Fri, 26 Aug 2016 15:13:39 +0200","24,405","14,761","299","60.48%",24405,14761,299,14462,0.604835074779758,0.592583486990371,0.0202560802113678,"Luapula","Kawambwa"
"63","Keembe","Fri, 26 Aug 2016 15:47:26 +0200","65,271","32,734","1,140","50.15%",65271,32734,1140,31594,0.501509092859003,0.484043449617748,0.0348261746196615,"Central","Chibombo"
"64","Kwacha","Fri, 26 Aug 2016 15:35:07 +0200","70,184","37,194","786","52.99%",70184,37194,786,36408,0.529949846118773,0.518750712413086,0.0211324407162446,"Copperbelt","Kitwe"
"65","Liuwa","Fri, 26 Aug 2016 16:38:01 +0200","15,888","10,883","160","68.5%",15888,10883,160,10723,0.684982376636455,0.674911883182276,0.0147018285399247,"Western","Kalabo"
"66","Livingstone","Fri, 26 Aug 2016 16:20:03 +0200","84,109","49,373","696","58.7%",84109,49373,696,48677,0.587012091452758,0.578737114934193,0.014096773540194,"Southern","Livingstone"
"67","Luampa","Fri, 26 Aug 2016 16:40:50 +0200","23,937","13,050","280","54.52%",23937,13050,280,12770,0.54518110038852,0.533483728119647,0.021455938697318,"Western","Luampa"
"68","Luangeni","Fri, 26 Aug 2016 15:20:55 +0200","38,837","20,613","660","53.08%",38837,20613,660,19953,0.530756752581301,0.513762649020264,0.032018629020521,"Eastern","Chipata"
"69","Luanshya","Fri, 26 Aug 2016 15:33:34 +0200","54,377","26,511","410","48.75%",54377,26511,410,26101,0.487540688158596,0.480000735605127,0.0154652785636151,"Copperbelt","Luanshya"
"70","Luapula","Fri, 26 Aug 2016 15:13:35 +0200","14,926","9,338","351","62.56%",14926,9338,351,8987,0.625619723971593,0.602103711644111,0.0375883486828015,"Luapula","Lunga"
"71","Lubansenshi","Fri, 26 Aug 2016 16:07:51 +0200","28,558","16,750","340","58.65%",28558,16750,340,16410,0.58652566706352,0.574620071433574,0.0202985074626866,"Northern","Luwingu"
"72","Luena","Fri, 26 Aug 2016 16:40:06 +0200","25,229","15,575","419","61.73%",25229,15575,419,15156,0.617345118712593,0.600737246819137,0.0269020866773676,"Western","Limulunga"
"73","Lufubu","Fri, 26 Aug 2016 15:40:56 +0200","9,080","3,314","129","36.5%",9080,3314,129,3185,0.364977973568282,0.350770925110132,0.0389257694628847,"Central","Ngabwe"
"74","Lufwanyama","Fri, 26 Aug 2016 15:32:20 +0200","37,590","15,007","595","39.92%",37590,15007,595,14412,0.399228518222932,0.383399840383081,0.0396481641900446,"Copperbelt","Lufwanyama"
"75","Lukashya","Fri, 26 Aug 2016 16:10:15 +0200","55,188","26,933","931","48.8%",55188,26933,931,26002,0.488022758570704,0.471153149235341,0.0345672594957858,"Northern","Kasama"
"76","Lukulu East","Fri, 26 Aug 2016 16:39:22 +0200","33,063","19,709","539","59.61%",33063,19709,539,19170,0.596104406738651,0.579802195808003,0.0273479121213659,"Western","Lukulu"
"77","Lumezi","Fri, 26 Aug 2016 15:17:55 +0200","47,575","20,446","791","42.98%",47575,20446,791,19655,0.429763531266421,0.413137151865476,0.0386872737943852,"Eastern","Lundazi"
"78","Lundazi","Fri, 26 Aug 2016 14:39:13 +0200","59,904","29,173","1,091","48.7%",59904,29173,1091,28082,0.486995860042735,0.468783386752137,0.0373975936653755,"Eastern","Lundazi"
"79","Lunte","Fri, 26 Aug 2016 16:05:13 +0200","29,079","14,005","254","48.16%",29079,14005,254,13751,0.481619037793597,0.472884211974277,0.0181363798643342,"Northern","Mporokoso"
"80","Lupososhi","Fri, 26 Aug 2016 16:08:45 +0200","33,455","19,609","327","58.61%",33455,19609,327,19282,0.586130623225228,0.5763562995068,0.0166760161150492,"Northern","Luwingu"
"81","Lusaka Central","Fri, 26 Aug 2016 14:53:52 +0200","81,236","49,310","427","60.7%",81236,49310,427,48883,0.606996897927027,0.601740607612389,0.00865950111539242,"Lusaka","Lusaka"
"82","Mafinga","Fri, 26 Aug 2016 14:57:50 +0200","38,777","21,423","704","55.25%",38777,21423,704,20719,0.552466668385899,0.534311576449957,0.0328618774214629,"Muchinga","Mafinga"
"83","Magoye","Fri, 26 Aug 2016 16:20:43 +0200","33,498","23,212","517","69.29%",33498,23212,517,22695,0.692936891754732,0.677503134515493,0.0222729622608995,"Southern","Mazabuka"
"84","Malambo","Fri, 26 Aug 2016 14:41:58 +0200","39,706","23,065","704","58.09%",39706,23065,704,22361,0.580894575127185,0.56316425729109,0.0305224365922393,"Eastern","Mambwe"
"85","Malole","Fri, 26 Aug 2016 16:02:41 +0200","72,272","35,963","680","49.76%",72272,35963,680,35283,0.497606265220279,0.488197365508081,0.0189083224425104,"Northern","Mungwi"
"86","Mambilima","Fri, 26 Aug 2016 15:09:34 +0200","18,667","10,719","300","57.42%",18667,10719,300,10419,0.574221888894841,0.558150747308084,0.0279876854184159,"Luapula","Mwense"
"87","Mandevu","Fri, 26 Aug 2016 14:56:25 +0200","148,889","80,222","1,789","53.88%",148889,80222,1789,78433,0.538804075519347,0.526788412844468,0.0223006157911795,"Lusaka","Lusaka"
"88","Mangango","Fri, 26 Aug 2016 16:37:44 +0200","22,073","12,943","440","58.64%",22073,12943,440,12503,0.586372491278938,0.566438635436959,0.0339952097658966,"Western","Kaoma"
"89","Mansa Central","Fri, 26 Aug 2016 15:10:59 +0200","60,008","29,504","635","49.17%",60008,29504,635,28869,0.491667777629649,0.481085855219304,0.0215225054229935,"Luapula","Mansa"
"90","Manyinga","Fri, 26 Aug 2016 16:01:29 +0200","24,723","15,543","229","62.87%",24723,15543,229,15314,0.628685839097197,0.619423209157465,0.0147333204658045,"North-Western","Manyinga"
"91","Mapatizya","Fri, 26 Aug 2016 16:34:32 +0200","36,277","26,808","690","73.9%",36277,26808,690,26118,0.738980621330319,0.719960305427681,0.0257385854968666,"Southern","Zimba"
"92","Masaiti","Fri, 26 Aug 2016 15:31:49 +0200","30,998","14,589","349","47.06%",30998,14589,349,14240,0.470643267307568,0.459384476417833,0.02392213311399,"Copperbelt","Masaiti"
"93","Matero","Fri, 26 Aug 2016 15:05:36 +0200","130,408","76,074","1,174","58.34%",130408,76074,1174,74900,0.583353781976566,0.574351266793448,0.0154323421931277,"Lusaka","Lusaka"
"94","Mazabuka Central","Fri, 26 Aug 2016 16:26:34 +0200","57,648","38,171","430","66.21%",57648,38171,430,37741,0.662139189564252,0.654680127671385,0.0112650965392576,"Southern","Mazabuka"
"95","Mbabala","Fri, 26 Aug 2016 16:23:16 +0200","35,403","28,186","354","79.61%",35403,28186,354,27832,0.796147219162218,0.786148066548033,0.0125594266657206,"Southern","Choma"
"96","Mbala","Fri, 26 Aug 2016 16:07:33 +0200","50,478","23,657","756","46.87%",50478,23657,756,22901,0.468659614089306,0.453682792503665,0.0319567147144608,"Northern","Mbala"
"97","Mfuwe","Fri, 26 Aug 2016 14:59:45 +0200","20,549","12,872","203","62.64%",20549,12872,203,12669,0.626405177867536,0.616526351647282,0.0157706650093226,"Muchinga","Mpika"
"98","Milanzi","Fri, 26 Aug 2016 15:20:12 +0200","30,947","16,291","770","52.64%",30947,16291,770,15521,0.526416130804278,0.501534882217986,0.0472653612424038,"Eastern","Katete"
"99","Milenge","Fri, 26 Aug 2016 15:10:59 +0200","18,466","9,467","300","51.27%",18466,9467,300,9167,0.512671937615076,0.496425863749594,0.0316890250343298,"Luapula","Milenge"
"100","Mitete","Fri, 26 Aug 2016 17:09:43 +0200","14,605","9,569","211","65.52%",14605,9569,211,9358,0.655186579938377,0.640739472783293,0.0220503709896541,"Western","Mitete"
"101","Mkaika","Fri, 26 Aug 2016 15:18:51 +0200","43,580","22,756","1,157","52.22%",43580,22756,1157,21599,0.522166131252868,0.495617255621845,0.0508437335208297,"Eastern","Katete"
"102","Mkushi North","Fri, 26 Aug 2016 15:43:15 +0200","49,203","20,794","695","42.26%",49203,20794,695,20099,0.422616507123549,0.408491352153324,0.0334231028181206,"Central","Mkushi"
"103","Mkushi South","Fri, 26 Aug 2016 15:43:16 +0200","20,104","11,566","257","57.53%",20104,11566,257,11309,0.575308396339037,0.562524870672503,0.0222203008818952,"Central","Luano"
"104","Mongu Central","Fri, 26 Aug 2016 17:09:42 +0200","59,400","31,691","473","53.35%",59400,31691,473,31218,0.533518518518519,0.525555555555556,0.0149253731343284,"Western","Mongu"
"105","Monze Central","Fri, 26 Aug 2016 16:26:17 +0200","57,917","42,885","517","74.05%",57917,42885,517,42368,0.740456170036431,0.731529602707323,0.0120554972601143,"Southern","Monze"
"106","Moomba","Fri, 26 Aug 2016 16:36:19 +0200","18,172","13,835","297","76.13%",18172,13835,297,13538,0.761336121505613,0.744992295839753,0.0214672930972172,"Southern","Monze"
"107","Mpika","Fri, 26 Aug 2016 14:59:43 +0200","37,920","20,515","447","54.1%",37920,20515,447,20068,0.541007383966245,0.5292194092827,0.0217889349256641,"Muchinga","Mpika"
"108","Mpongwe","Fri, 26 Aug 2016 15:31:19 +0200","42,209","18,704","476","44.31%",42209,18704,476,18228,0.443128242791822,0.43185102703215,0.0254491017964072,"Copperbelt","Mpongwe"
"109","Mporokoso","Fri, 26 Aug 2016 16:04:14 +0200","20,957","11,854","183","56.56%",20957,11854,183,11671,0.565634394235816,0.556902228372382,0.0154378268938755,"Northern","Mporokoso"
"110","Mpulungu","Fri, 26 Aug 2016 16:04:13 +0200","53,980","28,146","1,089","52.14%",53980,28146,1089,27057,0.52141533901445,0.501241200444609,0.0386911106373907,"Northern","Mpulungu"
"111","Msanzala","Fri, 26 Aug 2016 14:39:05 +0200","35,681","16,859","623","47.25%",35681,16859,623,16236,0.472492362882206,0.455032089907794,0.0369535559641734,"Eastern","Petauke"
"112","Muchinga","Fri, 26 Aug 2016 15:40:54 +0200","20,536","8,934","358","43.5%",20536,8934,358,8576,0.43504090377873,0.417608102843787,0.0400716364450414,"Central","Serenje"
"113","Mufulira","Fri, 26 Aug 2016 15:24:36 +0200","34,756","18,232","435","52.46%",34756,18232,435,17797,0.524571297042237,0.512055472436414,0.0238591487494515,"Copperbelt","Mufulira"
"114","Mufumbwe","Fri, 26 Aug 2016 15:51:20 +0200","31,964","20,199","782","63.19%",31964,20199,782,19417,0.63192967087974,0.607464647728695,0.0387147878607852,"North-Western","Mufumbwe"
"115","Mulobezi","Fri, 26 Aug 2016 16:48:01 +0200","16,509","10,390","564","62.94%",16509,10390,564,9826,0.629353685868314,0.595190502150342,0.0542829643888354,"Western","Mulobezi"
"116","Mumbwa","Fri, 26 Aug 2016 15:41:52 +0200","44,960","24,639","701","54.8%",44960,24639,701,23938,0.548020462633452,0.532428825622776,0.0284508299849832,"Central","Mumbwa"
"117","Munali","Fri, 26 Aug 2016 15:02:39 +0200","144,284","82,022","1,295","56.85%",144284,82022,1295,80727,0.568476061101716,0.559500706939092,0.0157884470020238,"Lusaka","Lusaka"
"118","Mwandi","Fri, 26 Aug 2016 16:46:40 +0200","14,806","9,716","172","65.62%",14806,9716,172,9544,0.656220451168445,0.644603539105768,0.0177027583367641,"Western","Mwandi"
"119","Mwansabombwe","Fri, 26 Aug 2016 15:10:51 +0200","25,251","12,919","428","51.16%",25251,12919,428,12491,0.511623302047444,0.494673478278088,0.0331294991872436,"Luapula","Mwansabombwe"
"120","Mwembezhi","Fri, 26 Aug 2016 14:55:23 +0200","32,480","20,684","583","63.68%",32480,20684,583,20101,0.636822660098522,0.61887315270936,0.0281860375169213,"Lusaka","Shibuyunji"
"121","Mwense","Fri, 26 Aug 2016 15:10:32 +0200","30,406","16,021","340","52.69%",30406,16021,340,15681,0.526902585016115,0.515720581464185,0.0212221459334623,"Luapula","Mwense"
"122","Mwinilunga","Fri, 26 Aug 2016 15:51:13 +0200","55,239","36,176","631","65.49%",55239,36176,631,35545,0.654899618023498,0.643476529263745,0.0174425033171163,"North-Western","Mwinilunga"
"123","Nakonde","Fri, 26 Aug 2016 16:10:32 +0200","52,831","26,412","716","49.99%",52831,26412,716,25696,0.499933751017395,0.486381102004505,0.027108889898531,"Muchinga","Nakonde"
"124","Nalikwanda","Fri, 26 Aug 2016 16:48:02 +0200","22,490","11,662","227","51.85%",22490,11662,227,11435,0.518541574032903,0.508448199199644,0.0194649288286743,"Western","Mongu"
"125","Nalolo","Fri, 26 Aug 2016 16:46:34 +0200","28,891","15,589","491","53.96%",28891,15589,491,15098,0.539579799937697,0.522584888027413,0.031496568092886,"Western","Nalolo"
"126","Namwala","Fri, 26 Aug 2016 16:36:46 +0200","50,392","36,812","812","73.05%",50392,36812,812,36000,0.730512779806318,0.714399110969995,0.0220580245572096,"Southern","Namwala"
"127","Nangoma","Fri, 26 Aug 2016 15:41:07 +0200","34,461","21,280","762","61.75%",34461,21280,762,20518,0.617509648588259,0.595397695946142,0.0358082706766917,"Central","Mumbwa"
"128","Nchanga","Fri, 26 Aug 2016 15:33:48 +0200","47,867","26,178","422","54.69%",47867,26178,422,25756,0.546890341989262,0.53807424739382,0.0161204064481626,"Copperbelt","Chingola"
"129","Nchelenge","Fri, 26 Aug 2016 15:09:29 +0200","73,470","28,440","664","38.71%",73470,28440,664,27776,0.387096774193548,0.378059071729958,0.0233473980309423,"Luapula","Nchelenge"
"130","Ndola Central","Fri, 26 Aug 2016 15:25:37 +0200","64,005","34,472","772","53.86%",64005,34472,772,33700,0.538582923209124,0.526521365518319,0.0223949872360176,"Copperbelt","Ndola"
"131","Nkana","Fri, 26 Aug 2016 15:33:43 +0200","49,093","27,239","487","55.48%",49093,27239,487,26752,0.554844886236327,0.544924938382254,0.017878776753919,"Copperbelt","Kitwe"
"132","Nkeyema","Fri, 26 Aug 2016 16:45:03 +0200","24,495","12,465","406","50.89%",24495,12465,406,12059,0.508879363135334,0.492304551949377,0.032571199358203,"Western","Nkeyema"
"133","Nyimba","Fri, 26 Aug 2016 14:40:13 +0200","44,068","20,855","749","47.32%",44068,20855,749,20106,0.473245892711264,0.456249432694926,0.0359146487652841,"Eastern","Nyimba"
"134","Pambashe","Fri, 26 Aug 2016 15:13:36 +0200","18,198","11,457","240","62.96%",18198,11457,240,11217,0.629574678536103,0.61638641608968,0.0209478921183556,"Luapula","Kawambwa"
"135","Pemba","Fri, 26 Aug 2016 16:35:30 +0200","34,013","26,367","496","77.52%",34013,26367,496,25871,0.775203598624056,0.760620939052715,0.0188113930291652,"Southern","Pemba"
"136","Petauke","Fri, 26 Aug 2016 14:35:32 +0200","65,489","36,369","1,451","55.53%",65489,36369,1451,34918,0.555345172471713,0.53318877979508,0.0398966152492507,"Eastern","Petauke"
"137","Roan","Fri, 26 Aug 2016 15:30:07 +0200","35,277","19,923","316","56.48%",35277,19923,316,19607,0.564758908070414,0.555801230263344,0.0158610651006375,"Copperbelt","Luanshya"
"138","Rufunsa","Fri, 26 Aug 2016 15:04:10 +0200","24,878","10,933","370","43.95%",24878,10933,370,10563,0.439464587185465,0.424592009003939,0.0338424951980243,"Lusaka","Rufunsa"
"139","Senanga","Fri, 26 Aug 2016 16:45:02 +0200","36,831","20,486","658","55.62%",36831,20486,658,19828,0.556216230892455,0.538350845754935,0.0321194962413355,"Western","Senanga"
"140","Senga Hill","Fri, 26 Aug 2016 16:05:40 +0200","42,072","22,246","721","52.88%",42072,22246,721,21525,0.528760220574254,0.511622932116372,0.0324103209565765,"Northern","Mbala"
"141","Serenje","Fri, 26 Aug 2016 15:38:26 +0200","28,237","12,432","360","44.03%",28237,12432,360,12072,0.440273400148741,0.427524170414704,0.028957528957529,"Central","Serenje"
"142","Sesheke","Fri, 26 Aug 2016 16:49:59 +0200","27,872","16,312","303","58.52%",27872,16312,303,16009,0.585246842709529,0.574375717566016,0.0185752820009809,"Western","Sesheke"
